"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
"Geology and Mineral Industries, Oregon Department of",Calico TRT Geochem.Subcomm. Mtg,Calico Resources USA Technical Review Team Geochemistry Subcommittee Meeting,02/05/2013 01:00:00 PM,02/05/2013 02:30:00 PM,"Hilton Hotel, 921 SW Sixth Avenue", Portland,OR,"Oregon Consolidated Application and Permitting Process – Chemical Process Mine
Calico Resources USA
Technical Review Team
Geochemistry Subcommittee Meeting
February 5, 2013
1:00 pm – 2:30 pm (Pacific Time)
2:00 pm – 3:30 pm (Mountain Time)
Hilton Hotel – 921 SW Sixth Avenue – Portland (Check at front desk for meeting room)
Call in number is 1-866-434-5269 – Participant Code 9564271 (note: different number)

",yes,ReNeea Gordon,(541) 967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,(541) 967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,1-866-434-5269,9564271,http://www.oregongeology.org/mlrr/noi/TRT-geo-submtg-02-05-13-agenda-DRAFT-detailed.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Water Resources Subcommittee Meeting,Calico Resources TRT Water Resources Subcommittee Meeting,10/03/2013 02:00:00 PM,10/03/2013 04:00:00 PM,teleconference, Albany,OR,"TRT Water Resources Subcommittee meeting - teleconference
2-4 pm (Pacific Time)
The public may monitor the call in person at DOGAMI offices, 800 NE Oregon, Suite 965, Portland, OR 97232; or by phone. To register, contact DOGAMI Offices in Albany at 541-967-2040.",yes,ReNeea Gordon,541-967-2040,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,ReNeea Gordon,541-967-2040,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-agenda-water-sub-10-03-13.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Meeting,06/16/2014 08:30:00 AM,06/16/2014 12:00:00 PM,"800 NE Oregon St., Ste. 965", Portland,OR,"DOGAMI Governing Board meeting.

Agenda PDF at:
http://www.oregongeology.org/sub/portoff/boardagenda-06-16-2014.pdf
",yes,Carol DuVernois,971-673-1555,carol.duvernois@dogami.state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,,Carol DuVernois,971-673-1555,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-06-16-2014.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Govening Board Meeting,DOGAMI Governing Board Meeting,11/25/2013 08:30:00 AM,11/25/2013 12:00:00 PM,"800 NE Oregon St., Suite 965", Portland,OR,Agenda TBA,yes,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,,,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-11-25-13..pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources: Public Informational Meeting,Public Informational Meeting: Calico Resources Proposed Gold Mine in Malheur County,10/09/2012 02:00:00 PM,10/09/2012 04:00:00 PM,"Riverhouse Hotel, 3075 North Business 97", Bend,OR,"Public informational meetings have been set in Bend and Ontario to take comments on the baseline data methodologies proposed by Calico Resources for its gold mine planned in Malheur County.  


The meetings are scheduled October 9, 2012 in Bend (The Riverhouse) and October 16, 2012 in Ontario (Four Rivers Cultural Center).   The meetings will be held from 2:00 - 4:00 pm and from 6:00 pm - 7:30 pm local time in both locations.


The public may listen to the hearings at locations established in Portland and Pendleton.  
A link to the public notice with additional details is at http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf.


The purpose of the public informational meetings is to identify issues raised by the proposed mining operation and to receive information from the public, including information related to the collection of baseline data that is relevant to the characterization of the pre-mine environment.


Written public comments are being accepted until November 6, 2012.",yes,ReNeea Gordon,(541) 967-2039,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA Proposed Gold Mine Public Informational Meeting,Public Informational Meeting,09/01/2015 02:00:00 PM,09/01/2015 06:30:00 PM," Four Rivers Cultural Center, 676 SW 5th Avenue", Ontario,OR,"Notes: 
Meeting time is Mountain Time.
There is a meeting break from 4 pm to 5 pm.

Four Rivers Cultural Center
676 SW 5th Avenue, Ontario, OR
2:00 – 4:00 pm (Mtn)
5:00 – 6:30 pm (Mtn)

For more information see: 
http://www.oregongeology.org/mlrr/chemicalprocess_Calico-GrassyMtn.htm",yes,ReNeea Lofton,(541) 967-2040,ReNeea.Lofton@mlrr.oregongeology.com,,,,,,,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT meeting,Calico Resources Technical Review Team meeting,10/04/2012 11:00:00 AM,10/04/2012 04:00:00 PM,"Water Resources Office, 725 Summer Street NE, Suite A", Salem,OR,Agenda forthcoming.,,Alyssa Boles,541-967-2040,alyssa.boles@mlrr.oregongeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/TRT-mtg-agenda-10-04-12-DRAFT.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",POSTPONED: Calico Project Coordinating Committee,Calico Project Coordinating Committee,10/30/2013 01:30:00 PM,10/30/2013 03:30:00 PM,676 SW Fifth Avenue, Ontario,OR,"THIS MEETING HAS BEEN POSTPONED.
",yes,ReNeea Gordon,541-967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,541-967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Meeting,07/12/2013 08:30:00 AM,07/12/2013 12:00:00 PM,"800 NE Oregon St., Ste. 965", Portland,OR,,yes,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,,,Carol DuVernois,(971) 673-1544,carol.duvernois@dogami.state.or.us,,,,,,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Notice of Rulemaking Amendments to OAR 632-030-0025 Relating to Mined Reclamation and Requirements for Imported Fill,Rulemaking Hearing: Amendments to OAR 632-030-0025,11/18/2014 10:00:00 AM,11/18/2014 12:00:00 PM,229 Broadalbin St. SW, Albany,OR,"DOGAMI is proposing changes to the Oregon Administrative Rules under Chapter 632, Division 30. 

Link to Draft Rule. 
http://www.oregongeology.org/mlrr/rules/Clean_Fill_Draft_Perm_Rule_09-19-14.pdf

Link to Statement of Need and Fiscal Impact:
http://www.oregongeology.org/mlrr/rules/632-20141015Fiscal.pdf",,ReNeea Lofton,(541) 967-2040,ReNeea.Lofton@mlrr.OregonGeology.com,,http://www.oregongeology.org/mlrr/gmap-mlrr.htm,,ReNeea Lofton,(541) 967-2040,ReNeea.Lofton@mlrr.OregonGeology.com,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA Technical Review Team Geochemistry Subcommittee Meeting,,12/18/2015 10:30:00 AM,12/18/2015 12:30:00 PM,teleconference, Portland,OR,"The public can monitor the call by phone. To register, contact DOGAMI Offices in Albany at 541/967-2081. You will be provided the call-in number when you register. The public can also monitor the call in person from the DOGAMI Portland offices at 800 NE Oregon, Suite 965, Portland, OR",, 	Amy Tennimon,(541) 967-2081,amy.tennimon@mlrr.oregongeology.com,,,, 	Amy Tennimon,(541) 967-2081,amy.tennimon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-geo-agenda-12-18-15.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources: Public Informational Meeting,Public Informational Meeting: Calico Resources Proposed Gold Mine in Malheur County,10/16/2012 06:00:00 PM,10/16/2012 07:30:00 PM,"Four Rivers Cultural Center, 676 SW 5th Avenue", Ontario,OR,"Public informational meetings have been set in Bend and Ontario to take comments on the baseline data methodologies proposed by Calico Resources for its gold mine planned in Malheur County.  

The meetings are scheduled October 9, 2012 in Bend (The Riverhouse) and October 16, 2012 in Ontario (Four Rivers Cultural Center).   The meetings will be held from 2:00 - 4:00 pm and from 6:00 pm - 7:30 pm local time in both locations.

The public may listen to the hearings at locations established in Portland and Pendleton.  
A link to the public notice with additional details is at http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf.

The purpose of the public informational meetings is to identify issues raised by the proposed mining operation and to receive information from the public, including information related to the collection of baseline data that is relevant to the characterization of the pre-mine environment.

Written public comments are being accepted until November 6, 2012.",yes,ReNeea Gordon,(541) 967-2039,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT Water Resources Subcommittee,,11/07/2014 10:00:00 AM,11/07/2014 12:00:00 PM,telephone conference, Portland,OR,"Telephone conference meeting with ""listening post"" at DOGAMI Portland Office.  Details and agenda TBA.",no,ReNeea Lofton,(541) 967-2040,Reneea.Lofton@mlrr.OregonGeology.com,,,,ReNeea Lofton,(541) 967-2040,Reneea.Lofton@mlrr.OregonGeology.com,,,,,http://www.oregongeology.org/mlrr/chemicalprocess_Calico-GrassyMtn.htm,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,DOGAMI Governing Board Meeting,04/03/2015 08:30:00 AM,04/03/2015 12:15:00 PM,"800 NE Oregon St. Suite 965,",Portland,OR,"This meeting is a teleconference. 
8:30 am-12:15 pm
",,Alyssa Pratt,971-673-1547,alyssa.pratt@state.or.us,,,,alyssa.pratt@state.or.us,971-673-1547,,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-04-03-2015.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Technical Review Team – Phone Meeting,,03/30/2015 01:00:00 PM,03/30/2015 03:00:00 PM,By phone and monitor at DOGAMI Portland office, Portland,OR,Agenda TBA,,ReNeea Lofton,(541) 967-2040,reneea.lofton@mlrr.oregongeology.com,,,,ReNeea Lofton,(541) 967-2040,reneea.lofton@mlrr.oregongeology.com,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT Meeting,Calico Technical Review Team Meeting,02/11/2013 11:00:00 AM,02/11/2013 04:00:00 PM,"DEQ Salem Offices, 750 Front Street, NE", Salem,OR,"The public can monitor the call by phone. To register, contact the DOGAMI Offices in Albany at 541-967-2040. You will be provided the call-in number when you register.",,ReNeea Gordon,541-967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,541-967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-mtg-agenda-02-11-13-DRAFT.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,,08/21/2015 08:30:00 AM,08/21/2015 12:30:00 PM,"800 NE Oregon St., Suite 965", Portland,OR,,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-08-21-2015.pdf,,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources Coor. Comm. Mtg.,Calico Resources USA Coordinating Committee Meeting,08/14/2012 01:00:00 PM,08/14/2012 04:00:00 PM,"676 Southwest 5th Avenue, Ontario, OR 97914 ", Ontario,OR,"Oregon Consolidated Application and Permitting Process – Chemical Process Mines - Calico Resources USA Project Coordinating Committee Meeting

August 14, 2012
Four Rivers Cultural Center, 
Malheur River Room
676 Southwest 5th Avenue
Ontario, OR 97914 
1:00 pm – 4:00 pm (Mountain Daylight Time)
(12:00 pm – 3:00 pm - Pacific Daylight Time)

The public can monitor the meeting at the DOGAMI offices, 800 NE Oregon, Suite 965, Portland, OR

All the meeting details are on the agenda. The public will be able to monitor the meeting at the DOGAMI conference room. Call in access will be 866-277-4013 Participant Code 784148


Agenda: http://www.oregongeology.org/mlrr/noi/Calico-PCC-mtg-agenda-08-14-12.pdf

Reasonable accommodation, such as assisted hearing devices, sign language interpreters, and materials in large print or audiotape, will be provided as requested. In order to ensure availability, please contact the DOGAMI Mineral Land Regulation and Reclamation Office at (541) 967-2040 at least 72 hours prior to the meeting to make your request. Services for persons with a hearing or speech disability are available by dialing 711.",,Alyssa Boles,,alyssa.boles@mlrr.oregongeology.com,,,,,,,,,866-277-4013,784148,http://www.oregongeology.org/mlrr/noi/Calico-PCC-mtg-agenda-08-14-12.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,,02/13/2015 08:30:00 AM,02/13/2015 12:00:00 PM,"800 NE Oregon St., Suite 965", Portland,OR,,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT Water Res Subcom Mtg ,Calico TRT Water Resources Subcommittee Meeting,01/22/2013 11:00:00 AM,01/22/2013 02:00:00 PM,"DEQ Salem Offices, 750 Front Street NE", Salem,OR,Agenda TBA,,ReNeea Gordon,,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,(541) 967-2051,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources ÛÒ TRT meeting,Technical Review Team meeting,07/16/2012 10:00:00 AM,07/16/2012 01:00:00 PM,"Water Resources Dept. Conf. Rm. 124A, 725 Summer Street NE, Suite A", Salem,OR,6/26/12 - Agenda is forthcoming.,,Alyssa Boles,(541) 967-2040,Alyssa.Boles@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/TRT-mtg-agenda-07-16-12.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,DOGAMI Governing Board Meeting,05/15/2015 08:30:00 AM,05/15/2015 12:00:00 PM,"800 NE Oregon St., Ste. 965",Portland,OR,"Friday, May 15, 8:30 am
Portland Sate Office Building
800 NE Oregon St., Ste. 965
Portland, OR 97015
agenda TBD ",,Alyssa Pratt,971-673-1547,alyssa.pratt@state.or.us,,,,Alyssa Pratt,971-673-1547,alyssa.pratt@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-05-15-2015.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Rulemaking Hearing,Notice of Proposed Rulemaking Hearing,12/05/2013 10:00:00 AM,12/05/2013 12:00:00 PM,"DOGAMI MLRR office, 229 Broadalbin St. SW, Albany, OR 97321", Albany,OR,"Amend OAR chapter 632, divisions 35 and 37 to Implement HB2248 (2013)

Action: Secure approval of new rule numbers (Adopted or Renumbered rules) with the Administrative Rules Unit prior to filing.

See PDF of Notice, Statement of Need and Fiscal Impact, and Draft Revisions link (Agenda link).",yes,ReNeea Gordon,(541) 967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,ReNeea Gordon,(541) 967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/Notice-Hearing-MLRR-12-05-2013.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA Technical Review Team Meeting,,01/04/2016 01:00:00 PM,01/04/2016 04:00:00 PM,4026 Fairview Industrial Dr.,Salem,OR,"NOTE: DEQ has moved its offices adjacent to the ODFW offices

The public can monitor the TRT discussion in person or by phone. The TRT does not take public comments during its meetings. To register, contact the DOGAMI Offices in Albany at 541/967-2081. You will be provided the call-in number when you register.

More about the Oregon Consolidated Application and Permitting process is posted at http://www.oregongeology.org/mlrr/chemicalprocess_Calico-GrassyMtn.htm",,Amy Tennimon,(541) 967-2081,amy.tennimon@mlrr.oregongeology.com,,,,Amy Tennimon,(541) 967-2081,amy.tennimon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-01-04-16-agenda.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Technical Review Team,,11/19/2014 11:00:00 AM,11/19/2014 04:00:00 PM,TBA, Salem,OR,Location and agenda TBA,no,ReNeea Lofton,(541) 967-2040,Reneea.Lofton@mlrr.OregonGeology.com,,,,ReNeea Lofton,(541) 967-2040,Reneea.Lofton@mlrr.OregonGeology.com,,,,,http://www.oregongeology.org/mlrr/chemicalprocess_Calico-GrassyMtn.htm,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA Technical Review Team Meeting,,01/04/2016 01:00:00 PM,01/04/2016 04:00:00 PM,4026 Fairview Industrial Dr.,Salem,OR,"NOTE: DEQ has moved its offices adjacent to the ODFW offices

The public can monitor the TRT discussion in person or by phone. The TRT does not take public comments during its meetings. To register, contact the DOGAMI Offices in Albany at 541/967-2081. You will be provided the call-in number when you register.

More about the Oregon Consolidated Application and Permitting process is posted at http://www.oregongeology.org/mlrr/chemicalprocess_Calico-GrassyMtn.htm",,Amy Tennimon,(541) 967-2081,amy.tennimon@mlrr.oregongeology.com,,,,Amy Tennimon,(541) 967-2081,amy.tennimon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-01-04-16-agenda.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,Rescheduled from Feb. 13 to Feb. 27,02/27/2015 08:30:00 AM,02/27/2015 12:00:00 PM,"800 NE Oregon St., Suite 965", Portland,OR,"The Feb. 13, 2015 meeting has been rescheduled to Feb. 27
Agenda TBA",,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Meeting,03/10/2014 08:30:00 AM,03/10/2014 12:00:00 PM,"PSOB, Ste. 965, 800 NE Oregon St.", Portland,OR,,yes,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,,Carol DuVernois,971-673-1544,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-03-10-2014.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT Water Resources Subcommittee Meeting,,01/20/2015 02:00:00 PM,01/20/2015 03:30:00 PM,"800 NE Oregon St., Suite 965", Portland,OR,"Telephone Conference Call
See agenda for instructions on how to register and monitor by phone.",no,ReNeea Lofton,(541) 967-2040,Reneea.Lofton@mlrr.OregonGeology.com,,,,ReNeea Lofton,(541) 967-2040,Reneea.Lofton@mlrr.OregonGeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-water-sub-agenda-1-20-15.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,,12/28/2015 08:30:00 AM,12/28/2015 12:00:00 PM,"PSOB, 800 NE Oregon St., Suite 965", Portland,OR,,,Alyssa Pratt,971-673-1555,alyssa.pratt@state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,,Alyssa Pratt,971-673-1555,alyssa.pratt@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-12-28-2015.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,,01/29/2015 01:00:00 PM,01/29/2015 02:00:00 PM,"800 NE Oregon St., Suite 965", Portland,OR,Teleconference. See link for agenda.,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-01-29-2015.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",CANCELLED - Calico Resources Technical Review Team Meeting,Calico Resources Technical Review Team Meeting,12/05/2012 11:00:00 AM,12/05/2012 05:00:00 PM,"Water Resources Offices, room 124B", Salem,OR,CANCELLED 11/12/2012,,ReNeea Gordon,,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Technical Review Team Meeting,Calico Resources USA Technical Review Team Meeting,10/31/2012 11:00:00 AM,10/31/2012 04:00:00 PM,"750 Front Street, NE, Suite 120", Salem,OR,"Oregon Consolidated Application and Permitting Process – Chemical Process Mine
Calico Resources USA
Technical Review Team Meeting
October 31, 2012
Oregon DEQ Offices
750 Front Street, NE, Suite 120, Salem, OR 973011
11:00 am – 4:00 pm (Pacific Daylight Time)
Noon – 5:00 pm (Mountain Daylight Time)
The public can monitor the call by phone. To register, contact DOGAMI Offices in Albany at 541/967-2040.
You will be provided the call-in number when you register.
The public is able to monitor the TRT discussion in person or by phone.",no,ReNeea Gordon,(541) 967-2051,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/TRT_mtg_agenda_10-31-12-DRAFT.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources: Public Informational Meeting,Public Informational Meeting: Calico Resources Proposed Gold Mine in Malheur County,10/16/2012 02:00:00 PM,10/16/2012 04:00:00 PM,"Four Rivers Cultural Center, 676 SW 5th Avenue", Ontario,OR,"Public informational meetings have been set in Bend and Ontario to take comments on the baseline data methodologies proposed by Calico Resources for its gold mine planned in Malheur County.  

The meetings are scheduled October 9, 2012 in Bend (The Riverhouse) and October 16, 2012 in Ontario (Four Rivers Cultural Center).   The meetings will be held from 2:00 - 4:00 pm and from 6:00 pm - 7:30 pm local time in both locations.

The public may listen to the hearings at locations established in Portland and Pendleton.  
A link to the public notice with additional details is at http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf.

The purpose of the public informational meetings is to identify issues raised by the proposed mining operation and to receive information from the public, including information related to the collection of baseline data that is relevant to the characterization of the pre-mine environment.

Written public comments are being accepted until November 6, 2012.",yes,ReNeea Gordon,(541) 967-2039,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,DOGAMI Governing Board Teleconference Meeting,08/20/2012 10:30:00 AM,08/20/2012 11:00:00 AM,"800 NE Oregon St., Suite 965", Portland,OR,This is brief teleconference meeting.,,Carol Duvernois,971-673-1544,carol.duvernois@dogami.state.or.us,,http://www.oregongeology.org/sub/portoff/gmap-Portlandoffice.htm,http://www.oregongeology.org/sub/calendar.htm,Carol Duvernois,971-673-1544,carol.duvernois@dogami.state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-08-20-2012.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Governing Board Meeting,Governing Board Meeting,09/05/2014 08:30:00 AM,09/05/2014 12:00:00 PM,"PSOB, 800 NE Oregon St.", Portland,OR,"Agenda PDF:
http://www.oregongeology.org/sub/portoff/boardagenda-09-05-2014.pdf",yes,Carol DuVernois,971-673-1544,carol.duvernois@state.or.us,,,,Carol DuVernois,971-673-1544,carol.duvernois@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-09-05-2014.pdf,deb.schueller@dogami.state.or.us,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources: Public Informational Meeting,Public Informational Meeting: Calico Resources Proposed Gold Mine in Malheur County,10/09/2012 06:00:00 PM,10/09/2012 07:30:00 PM,"Riverhouse Hotel, 3075 North Business 97", Bend,OR,"Public informational meetings have been set in Bend and Ontario to take comments on the baseline data methodologies proposed by Calico Resources for its gold mine planned in Malheur County.  

The meetings are scheduled October 9, 2012 in Bend (The Riverhouse) and October 16, 2012 in Ontario (Four Rivers Cultural Center).   The meetings will be held from 2:00 - 4:00 pm and from 6:00 pm - 7:30 pm local time in both locations.

The public may listen to the hearings at locations established in Portland and Pendleton.  
A link to the public notice with additional details is at http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf.

The purpose of the public informational meetings is to identify issues raised by the proposed mining operation and to receive information from the public, including information related to the collection of baseline data that is relevant to the characterization of the pre-mine environment.

Written public comments are being accepted until November 6, 2012.",yes,ReNeea Gordon,(541) 967-2039,Reneea.J.Gordon@mlrr.OregonGeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/Calico_public_notice_baseline_data%20_09-24-12%20.pdf,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,,01/05/2015 08:30:00 AM,01/05/2015 12:30:00 PM,"Assoc. of Oregon Counties Bldg, Rm. 113, 1201 Court St NE",Salem,OR,Agenda TBA,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,"https://www.google.com/maps/place/Association+of+Oregon+Counties/@44.9375728,-123.0226177,13z/data=!4m2!3m1!1s0x54bfff16b0344101:0xf40d5fa2e2783a69",,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-01-05-2015.pdf,,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting - Teleconference,,09/24/2015 09:00:00 AM,09/24/2015 10:30:00 AM,"Teleconference, Portland State Office Bldg., Ste. 965", Portland,OR,,yes,Alyssa Pratt,971-673-1555,alyssa.pratt@state.or.us,,,,Alyssa Pratt,971-673-1555,alyssa.pratt@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-09-24-2015.pdf,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT Geochemistry Subcommittee meeting,,12/10/2015 10:00:00 AM,12/10/2015 12:00:00 PM,telephone call,Portland,OR,Agenda TBA,,Amy Tennimon,(541) 967-2081,amy.tennimon@mlrr.oregongeology.com,,,,,,,,,,,http://www.oregongeology.org/mlrr/noi/TRT-water-sub-12-10-15-agenda.pdf,,,,,,,,
