"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
"Dentistry, Oregon Board of",Regularly Scheduled Board Meeting,,08/19/2016 07:30:00 AM,08/19/2016 03:00:00 PM,"1500 SW 1st Ave., Suite #770", Portland,OR,,,Stephen Prisby,,stephen.prisby@state.or.us,,,,,,,,,,,,,,,,,,,
Douglas ESD,Board of Directors Meeting,,08/18/2016 06:30:00 PM,08/18/2016 08:30:00 PM,1871 NE Stephens Street, Roseburg,OR,,,Heidi Larson,,heidi.larson@desd.k12.or.us,,,,,,,,,,,,,,,,,,,
Justice Department,Attorney General's Public Records Law Reform Task Force,Public Hearing,08/18/2016 04:30:00 PM,08/18/2016 06:00:00 PM,Public Library in the Brooks Room located at 601 N.W. Wall Street ,Bend,OR,"Members of the Attorney General's Public Records Law Reform Task Force will be accepting public comments on the Oregon Public Records Law, and the work of the task force. Please join us to share your experiences, suggestions, or other thoughts with task force members.

All are welcome to attend.

Information about the work of the task force is available on the Public Records Law Reform Task Force website. Currently, that work is focused primarily on the hundreds of disclosure exemptions that keep information out of public hands - and can make the law difficult to implement. Other issues that the task force expects to examine include the cost and timeliness of public records disclosures. The task force wants to hear from Oregonians on these and other public records law subjects.

Here is a link to a map of downtown Bend: http://www.downtownbend.org/explore-downtown/map-of-downtown/ 

We are meeting in the Brooks room of the Library marked on the lower left of the map. There is public parking across the street from the library.

Questions about this announcement, and requests for accommodations by individuals with disabilities, can be directed to Michael Kron, Michael.C.Kron@doj.state.or.us. ",Yes,Michael Kron,,Michael.C.Kron@doj.state.or.us,,http://www.downtownbend.org/explore-downtown/map-of-downtown/,,,,,,,,,,,,,,,,,
"Health Authority, Oregon",Public Health Advisory Board,,08/18/2016 02:30:00 PM,08/18/2016 05:30:00 PM,"Portland State Office Building (PSOB), 800 NE Oregon St., Room 1E (first floor)", Portland,OR,"What: The monthly public meeting of the Public Health Advisory Board

Agenda: Accountability Metrics Subcommittee report; phasing in of public health modernization priorities over the next three biennia; and the role of the Public Health Advisory Board in promoting health equity.

When: Thursday, August 18, 2:30-5:30 p.m. A 15-minute public comment period is scheduled at 5:15 p.m.; comments may be limited to three minutes.

Where: Portland State Office Building, Room 1E, 800 NE Oregon St., Portland. The meeting will also be live-streamed through the Public Health Advisory Board website at http://www.healthoregon.org/phab.

Oregon’s Public Health Advisory Board provides guidance for the state’s governmental public health system and oversees the implementation of public health modernization and Oregon’s State Health Improvement Plan.

Program contact: Cara Biddlecom at 971-673-2284 or cara.m.biddlecom@state.or.us

# # #
",Yes,Cara Biddlecom,971-673-2284,cara.m.biddlecom@state.or.us,,,,,,,true,,,,,,,,http://public.health.oregon.gov/About/Pages/ophab.aspx,,,,
"State Lands, Department of",South Slough Management Commission Meeting,This meeting will be conducted via teleconference,08/18/2016 02:00:00 PM,08/18/2016 02:30:00 PM,"South Slough National Estuarine Research Reserve, 61907 Seven Devils Road",Charleston,OR,The South Slough National Estuarine Research Reserve Management Commission will be holding a special meeting to discuss gorse control options on Reserve lands.,No,Gary Cooper,541-888-8270 x315,gary.cooper@state.or.us,,,,,,,,,1-888-278-0296,581433#,,,,,http://www.oregon.gov/dsl/SSNERR/Pages/management_commission.aspx,,,,
InterMountain ESD,IMESD Board Meeting,,08/18/2016 10:45:00 AM,08/18/2016 01:00:00 PM,InterMountain ESD, Pendleton,OR,,,Marla J. Royal,,marla.royal@imesd.k12.or.us,,,,,,,,,,,,,,,,IMESDAgenda_Aug18-16(media).pdf (https://data.oregon.gov/views/gs36-7t8m/files/e9284b95-0f4f-41e4-af04-29a38adeae2c?download=true&filename=IMESDAgenda_Aug18-16(media).pdf),,,
Water Resources Commission,Water Resources Commission Mtg,,08/18/2016 10:30:00 AM,08/18/2016 04:45:00 PM,"Hermiston Conference Center, 415 S. Hwy 395",Hermiston,OR,,Yes,Cindy Smith,503-986-0876,cindy.s.smith@wrd.state.or.us,,,,Cindy Smith,,,,,,,,,,,http://apps.wrd.state.or.us/apps/misc/wrd_notice_view/Default.aspx?notice_id=23,S:\groups\commission\2016 August\Revised - August 18 - 19 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/bb0325ec-c251-4094-be07-f3e5caca0f6a?download=true&filename=S:\groups\commission\2016%20August\Revised%20-%20August%2018%20-%2019%20Agenda.pdf),,,
"Health Authority, Oregon",Conference of Local Health Officials,,08/18/2016 09:30:00 AM,08/18/2016 12:00:00 PM,"Portland State Office Building (PSOB), 800 NE Oregon St., Room 1E (first floor)", Portland,OR,"What: The monthly public meeting of the Conference of Local Health Officials

Agenda: Updates; public health modernization update; and Triennial Review Schedule Proposal

When: Thursday, August 18, 9:30 a.m. to noon. The meeting is open to the public. No conference call option is available for the public.

Where: Portland State Office Building, Room 1E, 800 NE Oregon St., Portland

The Conference of Local Health Officials provides recommendations to the Oregon Health Authority on the rules and standards for public health specified in ORS 431.345 and 431.350.

Program contact: Danna Drum at  971-673-1223 or danna.k.drum@state.or.us 

# # #
",,Danna Drum,971-673-1223,danna.k.drum@state.or.us,,,,,,,,,,,,,,,,,,,
"Liquor Control Commission, Oregon",August Commission Meeting,Monthly Commission Meeting,08/18/2016 09:00:00 AM,08/19/2016 04:00:00 PM,"OLCC Main Office, 9079 SE McLoughlin Blvd", Portland,OR,,,Laura Paul,503-872-5006,laura.paul@oregon.gov,,,http://www.oregon.gov/OLCC/pages/public_meetings.aspx#Commission_Meetings,,,,,,,,http://www.oregon.gov/olcc/docs/commission_agendas/2016/Commission_Agenda_08_19.pdf,,,,http://www.oregon.gov/olcc/docs/commission_agendas/2016/Commission_Agenda_08_19.pdf,,,,
"Forest Resources Institute, Oregon",OFRI Board of Directors Update Conf. Call,,08/18/2016 09:00:00 AM,08/18/2016 09:30:00 AM,"317 SW Sixth Ave., Suite 400", Portland,OR,,,Kathy Storm,971-673-2953,storm@ofri.org,,,,,,,,,866-377-3315,9438581,,,,,,Meeting Notice - August 18 2016.pdf (https://data.oregon.gov/views/gs36-7t8m/files/e15746a1-0881-41db-983c-f99ba0fcec30?download=true&filename=Meeting%20Notice%20-%20August%2018%202016.pdf),,,
Environmental Quality Dept.,Oregon Environmental Quality Commission ,the 390th Regular Meeting ,08/18/2016 08:00:00 AM,08/18/2016 04:30:00 PM,multiple locations, Hermiston,OR,"Item N, 8-10:30 a.m.
City Hall
180 NE 2nd Street
Hermiston, OR

Items O and P
10:30 a.m. to 4:30 p.m
Hermiston Conference Center
415 S. Highway 395
Hermiston, OR",,Stephanie Caldera,,caldera.stephanie@deq.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/deq/EQC/Pages/EQCAgendas2016/081716agenda.aspx,,,,
Columbia Gorge ESD,Board of Directors Meeting,,08/17/2016 07:00:00 PM,08/17/2016 08:00:00 PM,"400 East Scenic Drive, Room 2.221", The Dalles,OR,Regular monthly board meeting,Yes,Mary Bowen,541-298-5155,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-298-5155,mbowen@cgesd.k12.or.us,,,,,http://www.cgesd.k12.or.us/cms/lib07/OR01915656/Centricity/Domain/13/August%202016%20Agenda.pdf,,,,http://www.cgesd.k12.or.us/cms/lib07/OR01915656/Centricity/Domain/13/August%202016%20Minutes.pdf,August 2016 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8694f539-01f0-42da-b5ba-3e8e0add59db?download=true&filename=August%202016%20Agenda.pdf),,,
Environmental Quality Dept.,Oregon Environmental Quality Commission , the 390th Regular Meeting evening session,08/17/2016 05:30:00 PM,08/17/2016 06:30:00 PM,"SAGE Center, 101 Olsen Road", Boardman,OR,,,Stephanie Caldera,,caldera.stephanie@deq.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/deq/EQC/Pages/EQCAgendas2016/081716agenda.aspx,,,,
"State Lands, Department of","Rules Advisory Committee Meeting Div. 141-085, -089, -093 and -140 Rulemaking for Siting Ocean Renewable Energy Devices in the Territorial Sea",Third meeting of the committee to provide recommendations to DSL on rulemaking to implement the requirements of the Territorial Sea Plan – Part V; House Bill 2694 (2013 Session); Senate Bill 606 (2013 Session); and Senate Bill 319 (2015 Session).,08/17/2016 10:00:00 AM,08/17/2016 01:00:00 PM,"City Council Meeting Room, City of Newport", Newport,OR,,yes,Kirk Jarvie,503-986-5320,kirk.jarvie@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/dsl/Pages/Rulemaking-Activity.aspx,,,,
Electronic Government Portal Advisory Board,August Board Meeting,E-Government Program prioritization criteria projects overview ,08/17/2016 09:00:00 AM,08/17/2016 12:00:00 PM,"Department of Forestry, 2600 State St., Bldg. C", Salem,OR,"The Electronic Government Portal Advisory Board meeting provides advice to the Office of the State CIO on the states Internet websites, applications and online services.",Yes,Wally Rogers,503-378-2973,wallace.b.rogers@oregon.gov,,"https://maps.google.com/maps?ie=UTF-8&q=department+of+forestry&fb=1&gl=us&hq=department+of+forestry&hnear=0x54bffefcbc4b9c63:0xf93429e08f0357c2,Salem,+OR&ei=IIPqUsakJITDoAT4-oD4BQ&sqi=2&ved=0CIsBELYD%20",,,,,true,http://www.oregon.gov/epab/Documents/EPAB_Internet_Public_Attendee_Instructions.pdf%20,1-866-377-3315,9672482,https://www.oregon.gov/epab/Pages/Meeting-Documents.aspx,,,,https://www.oregon.gov/epab/Pages/Meeting-Documents.aspx,EPAB_Agenda_8-17-16.pdf (https://data.oregon.gov/views/gs36-7t8m/files/144676d7-8b2f-48f5-bbf7-47585db4bb8d?download=true&filename=EPAB_Agenda_8-17-16.pdf),,,
"Business Development Commission, Oregon",Finance Committee Meeting,Finance Committee Meeting,08/17/2016 09:00:00 AM,08/17/2016 10:00:00 AM,775 Summer St NE, Salem,OR,The Business Oregon Commission's Finance Committee will hold a conference call meeting to consider finance committee membership and to plan a 2016 retreat.,,Pam Brunell,503-986-0172,pamela.brunell@oregon.gov,,,,,,,,,,,,,,,,,,,
Medical Assistance Program Administration,All Plan System Technical,Monthly Meeting,08/17/2016 08:00:00 AM,08/17/2016 11:00:00 AM,500 Summer Street NE Conference Room 137 C+D, Salem,OR,,Yes,Michelle Hatfield,,michelle.m.hatfield@state.or.us,,,,,,,,,1-888-278-0296,310477,,,,,http://www.oregon.gov/oha/healthplan/Pages/CCO-System-Technical.aspx,,,,
Environmental Quality Dept.,Oregon Environmental Quality Commission,the 390th Regular Meeting ,08/17/2016 08:00:00 AM,08/17/2016 05:00:00 PM,"Port of Morrow offices, Riverfront Room, 2 Marine Drive",Boardman,OR,,,Stephanie Caldera,,caldera.stephanie@deq.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/deq/EQC/Pages/EQCAgendas2016/081716agenda.aspx,,,,
High Desert ESD,Board of Directors Meeting-Cancelled,,08/16/2016 05:30:00 PM,08/16/2016 07:30:00 PM,2804 SW Sixth Street, Redmond,OR,Meeting Cancelled,,Shelley Knutz,541.693.5608,shelley.knutz@hdesd.org,,,,,,,,,,,,,,,http://www.hdesd.org/about/board/meeting-agendas-and-minutes/,,,,
"Parks and Recreation, Oregon",OREGON PARKS AND RECREATION DEPARTMENT TO ACCEPT COMMENTS ON OREGON MAIN STREET REVITALIZATION GRANT RULES,,08/16/2016 11:00:00 AM,08/16/2016 01:00:00 PM,"in Room 124B in the North Mall Office Building, 725 Summer St NE Suite C .",Salem,OR,"The Oregon Parks and Recreation Department (OPRD) has filed Notice of Rulemaking with the Secretary of State in Chapter 736, Division 056, Rule 0000. The Notice of Rulemaking was published in the August 1, 2016 edition of the Oregon Bulletin. 

Rule Caption: Establishes procedures and criteria that the OPRD will use in awarding Oregon Main Street Revitalization Grants. 

Rule Summary: The Administrative Rules establish procedures and criteria that the OPRD will use to administer the Oregon Main Street Revitalization Grant Program that will award grant funds as provided in ORS 390 Sec. 262 and 264. 

The Parks and Recreation Department requests public comment on these proposed rules. There will be a public hearing on August 16, 2016, at 11:00 a.m. in Room 124B in the North Mall Office Building, 725 Summer St NE Suite C in Salem, Oregon. Written comments must be received by 5:00 PM on August 19, 2016. Submit e-mail comments at OPRD.publiccomment@oregon.gov or mail written comments to Sheri Stuart, Oregon Parks and Recreation, 725 Summer Street NE, Suite C, Salem, Oregon, 97301. 

Visit the following link to see this and other Oregon Parks and Recreation rulemaking notices and supporting documentation: 
http://www.oregon.gov/oprd/RULES/Pages/Rulemaking%20Notices.aspx. 

Questions? Contact Sheri Stuart, Main Street Coordinator, at 503-986-0679 or sheri.stuart@oregon.gov.
",Yes,Sheri Stuart,503-986-0679,sheri.stuart@oregon.gov,,,,,,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,08/16/2016 09:30:00 AM,08/16/2016 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,503-373-0885,kristi.collins@state.or.us,,,,,,,,,,,http://oregonpuc.granicus.com/GeneratedAgendaViewer.php?view_id=1&clip_id=116,,,,https://docs.google.com/gview?url=https%3A%2F%2Foregonpuc.granicus.com%2FDocumentViewer.php%3Ffile%3Doregonpuc_ced18236983b087a7bdaa0919dd5474b.pdf%26view%3D1&embedded=true,,,,
Early Learning Council,Equity Implementation Committee,,08/16/2016 09:00:00 AM,08/16/2016 11:00:00 AM,"421 SW Oak St, Suite 775", Portland,OR,,,Teresa Waite,503.947.1891,teresa.n.waite@ode.state.or.us,,,,,,,,,877-309-2070,845-188-021,https://oregonearlylearning.com/public-meetings/equity-implementation-committee/,,,,,,,,
Transportation Department,Speed Zone Review Panel Hearing,Hear City of Portland's Proposed Experimental Method on Speed Zoning,08/16/2016 09:00:00 AM,08/16/2016 11:00:00 AM,"ODF&W, Commission Room, 4034 Fairview Industrial Drive ",Salem,OR,City of Portland's proposal for an experimental alternative speed zoning method; ODOT's recommendation to extend 55 mph south of Klamath Falls.,Yes,Kathi McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,Kathi McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,,,,,,,,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) meeting,,08/16/2016 08:30:00 AM,08/16/2016 12:30:00 PM,"Hilton Garden Inn, 3528 Gateway St.", Springfield,OR,,Yes,Manette Simpson,503-986-4715,msimpson@oda.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODA/programs/NaturalResources/Pages/Meetings.aspx,,,,
Public Utility Commission,Special Public Meeting - Administrative Issues,HB 2941 Solar Legislation Report Process,08/15/2016 01:30:00 PM,08/15/2016 02:00:00 PM,"201 High Street SE, River Conference Room", Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,,,,,,
Water Resources Department,HB 4113 Drought Task Force,,08/15/2016 10:00:00 AM,08/15/2016 03:00:00 PM,"State Capitol, 900 Court Street, Room 350", Salem,OR,,,Lanaya Blakely,503-986-0888,lanaya.f.blakely@wrd.state.or.us,,,,,,,,,,,,,,,,M:\Final Agenda Meeting 3__8.10.16.pdf (https://data.oregon.gov/views/gs36-7t8m/files/ee25878a-f7b6-4da2-b7ee-41d6cbb3e4cf?download=true&filename=M:\Final%20Agenda%20Meeting%203__8.10.16.pdf),,,
"Health Authority, Oregon",Task Force on School Nursing,,08/12/2016 12:30:00 PM,08/12/2016 03:30:00 PM,"Oregon Public Service Building Room 251A and B, 255 Capitol St.", Salem,OR,"What: The monthly public meeting of the Task Force on School Nursing.

Agenda: Determine recommendations to include in task force report; review draft report.

When: Friday, Aug. 12, 12:30-3:30 p.m. The meeting is open to the public. 

Where: Oregon Public Service Building Room 251A and B, 255 Capitol St., Salem 

Details: The Task Force on School Nursing is a governor-appointed task force legislatively mandated by SB 698 (2015). The task force is charged with:
-- Examining health care funding sources to support school health services.
-- Recommending sustainable funding sources for school health services. 
-- Recommending standards of school nursing practices.
-- Recommending ways to create a coordinated school health services model that directs an appropriate level of funding to school nursing and school-based health centers.

Contact: Jamie Smith, 971-673-0724, jamie.leon.smith@state.or.us, for any questions related to the Task Force on School Nursing.

# # #
",,Jamie Smith,971-673-0724,jamie.leon.smith@state.or.us,,http://bit.ly/2aKFQt5,,,,,,,,,,,,,https://public.health.oregon.gov/HealthyPeopleFamilies/Youth/HealthSchool/Pages/Task-Force-on-School-Nursing.aspx,,,,
Infrastructure Finance Authority Board,IFA Board Meeting,,08/12/2016 10:00:00 AM,08/12/2016 12:00:00 PM,"Tualatin Valley Water District, 1850 SW 170th Ave",Beaverton,OR,,Yes,Suzy Miller,503-986-0117,suzy.miller@oregon.gov,,,,,,,,,,,http://www.orinfrastructure.org/IFA-Board/2016meetings.php,,,,http://www.orinfrastructure.org/IFA-Board/2016meetings.php,,,,
"Health Licensing Agency, Oregon",Sex Offender Treatment Board,,08/12/2016 10:00:00 AM,08/10/2016 04:00:00 PM,700 Summer St. Suite 320 Salem OR 97301, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,,,,,,
"Ethics Commission, Oregon Government",Regularly Scheduled Meeting,August 2016 Commission Meeting,08/12/2016 09:00:00 AM,08/12/2016 03:00:00 PM,"Morrow Crane Building, 3218 Pringle Rd SE, Suite 220", Salem,OR,,,Virginia Lutz,5033785105,virginia.lutz@oregon.gov,,,,,,,,,,,http://www.oregon.gov/OGEC/pages/agendas.aspx,,,,"http://www.oregon.gov/OGEC/docs/agendas%20and%20meeting%20materials/2016/2016,%208-12%20Minutes.pdf",,,,
"Engineering and Land Surveying, Board of Examiners for",Committee Meetings,,08/12/2016 08:00:00 AM,08/12/2016 05:00:00 PM,"670 Hawthorne Avenue, SE Suite 220", Salem,OR,,,Jenn Gilbert,,osbeels@osbeels.org,,,,,,,,,,,,,,,,,,,
Southern Oregon ESD,Special Meeting of the SOESD Board of Directors,,08/11/2016 05:30:00 PM,08/11/2016 06:30:00 PM,101 North Grape Street, Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/Page.asp?NavID=1440,,,,,,,,
Health Evidence Review Commission,Health Evidence Review Commission (HERC),,08/11/2016 01:30:00 PM,08/11/2016 04:30:00 PM,"Clackamas Community College, Wilsonville Training Center, Rooms 111-112, 29353 SW Town Center Loop E", Wilsonville,OR,,Yes,HERC Information,,herc.info@state.or.us,,http://www.oregon.gov/oha/herc/Documents/Wilsonville%20Training%20Center%20-%20map.pdf,,,,,,,,,,,,,http://www.oregon.gov/oha/herc/Pages/Meeting-Materials-Archives.aspx,,,,
"Treasurer, Oregon State",ORSP - Rulemaking Advisory Committee,,08/11/2016 01:00:00 PM,08/11/2016 02:30:00 PM,"OST - Tigard Office - 16290 SW Upper Boones Ferry Road, Mt. Hood Board Room", Portland,OR,,,Missy Simpson,503-373-7453,missy.simpson@ost.state.or.us,,,,,,,,,,,,,,,,RAC - August Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/425d0ac4-2c4c-49a0-abb8-9e5e4232cd99?download=true&filename=RAC%20-%20August%20Agenda.pdf),,,
Independent Living Council,Executive Committee,"Review Standards, Assurances, Bylaws & Policies",08/11/2016 10:00:00 AM,08/11/2016 03:30:00 PM,"500 Summer St NE, Room 137C",Salem,OR,"Please call in advance for parking and meeting room details. 

Accommodations including the provision of interpreters, assistive listening devices, and materials in alternate formats are available upon request. Although every effort will be made to arrange accommodations within 48 hour notice, the SILC requests two week notice to ensure accommodations.

In support of the SILC mission of inclusion, we require that people refrain from wearing perfumes or other scents at the meetings so that people with chemical sensitivities may attend and participate comfortably. ",No,Shelly Emery,503-945-6204,shelly.emery@state.or.us,,"https://www.google.com/maps/place/500+Summer+St+NE,+Salem,+OR+97301/@44.9427052,-123.0294874,17z/data=!3m1!4b1!4m5!3m4!1s0x54bfff103ab9d359:0x7a84f607bf3e08fc!8m2!3d44.9427052!4d-123.0272987",,Shelly Emery,503-945-6204,shelly.emery@state.or.us,,,,,,,,,,00-081116 Draft EC Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/c4477a83-9aae-4860-b19b-6719289633a5?download=true&filename=00-081116%20Draft%20EC%20Agenda.docx),,,
Governor's Office,Regional Solutions Advisory Committee: Central,,08/11/2016 10:00:00 AM,08/11/2016 12:00:00 PM,TBD,TBD,OR,,,Annette Liebe,,annette.liebe@oregon.gov,,,,,,,,,,,,,,,http://www.oregon.gov/gov/admin/regional-solutions/Pages/Central.aspx,,,,
Human Services Department,Governor's Commission on Senior Services & Oregon Disabilities Commission,Joint meeting,08/11/2016 09:30:00 AM,08/11/2016 04:00:00 PM,"3406 Cherry Ave NE, Room 123",Keizer,OR,,Yes,Rebecca Arce,503-947-5019,rebecca.e.arce@state.or.us,,,,Kelsey Gleeson,503-947-5104,kelsey.gleeson@state.or.us,,https://global.gotomeeting.com/join/524467621,888-363-4735,3439085,,,,,,I:\APD Advocacy AND Development\Commissions and Councils\GCSS\Meetings\2016\8-2016 Full\Agenda\8-11-16 full agendaFINAL.pdf (https://data.oregon.gov/views/gs36-7t8m/files/0a1ec889-7b84-4f11-9c02-e9de88818b17?download=true&filename=I:\APD%20Advocacy%20AND%20Development\Commissions%20and%20Councils\GCSS\Meetings\2016\8-2016%20Full\Agenda\8-11-16%20full%20agendaFINAL.pdf),,,
"Treasurer, Oregon State",Private Activity Bond Committee,Special Meeting,08/11/2016 09:30:00 AM,08/11/2016 10:30:00 AM,"350 Winter Street NE, Suite 100, Columbia Room",Salem,OR,,,Martha Kellams,503-378-4930,martha.kellams@ost.state.or.us,,"https://www.google.com/maps?q=900+Court+ST+NE,+Salem+OR+97301&hl=en&ll=44.939028,-123.030052&spn=0.010815,0.011115&sll=44.940963,-123.030289&sspn=0.010814,0.011115&hnear=900+Court+St+NE,+Salem,+Oregon+97310&t=m&z=16",http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4930,martha.kellams@ost.state.or.us,,,,,http://www.oregon.gov/treasury/Divisions/DebtManagement/Pages/Private-Activity-Bond-Committee.aspx,,,,http://www.oregon.gov/treasury/Divisions/DebtManagement/Pages/Private-Activity-Bond-Committee.aspx,,,,
Landscape Architect Board,Quarterly Board Meeting,,08/11/2016 09:00:00 AM,08/11/2016 04:30:00 AM,"Association Center, 707 13th St. SE",Salem,OR,,yes,Christine Valentine,,oslab.info@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/landarch/Pages/minutes.aspx,,,,
Employment Relations Board,ULP Hearing,,08/11/2016 09:00:00 AM,08/11/2016 05:00:00 PM,1515 Agate St. , Eugene,OR,"** CANCELLED

Hearing in UP-017-15 UAAAUP v. University of Oregon",,Cynthia Nelson,503-378-3295,cynthia.nelson@oregon.gov,,,,,,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Direct Entry Midwifery,,08/11/2016 09:00:00 AM,08/11/2016 04:00:00 PM,700 Summer St. Suite 320 Salem OR 97301, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,,,,,,
Health Evidence Review Commission,Value-based Benefits Subcommittee (VbBS),,08/11/2016 08:30:00 AM,08/11/2016 01:00:00 PM,"Clackamas Community College, Wilsonville Training Center, Rooms 111-112, 29353 SW Town Center Loop E", Wilsonville,OR,,Yes,HERC Information,,herc.info@state.or.us,,http://www.oregon.gov/oha/herc/Documents/Wilsonville%20Training%20Center%20-%20map.pdf,,,,,,,,,,,,,http://www.oregon.gov/oha/herc/Pages/Meeting-Materials-Archives.aspx,,,,
"Engineering and Land Surveying, Board of Examiners for",Law Enforcement Committee Meeting,,08/11/2016 08:00:00 AM,08/11/2016 05:00:00 PM,"670 Hawthorne Avenue, SE Suite 220", Salem,OR,,,Jenn Gilbert,,osbeels@osbeels.org,,,,,,,,,,,,,,,,,,,
Clackamas ESD,Board of Directors Regular Session,,08/10/2016 07:00:00 PM,08/10/2016 08:30:00 PM,13455 SE 97th Avenue,Clackamas,OR,,,Pam Bonner,,pbonner@clackesd.org,,,,,,,,,,,,,,,https://v3.boardbook.org/Public/PublicHome.aspx?ak=1000564,,,,
Linn Benton Lincoln ESD,Regular Board Meeting,,08/10/2016 06:00:00 PM,08/10/2016 08:00:00 PM,905 4th Ave. SE, Albany,OR,"At 5:30 PM the Board will hold Executive Session Per ORS 192.660(2)(b)to consider the dismissal or disciplining of, or to hear complaints or charges brought against a public officer, employee, staff member or individual agent who does not request an open hearing; (2)(d) to conduct deliberations with persons designated by the governing body to carry on labor negotiations; and (2)(f)to consider records exempt by law from public inspection.  At 6:00 PM the Regular Board Meeting will begin.",,Debbie Herndon,41-812-2601,debbie.herndon@lblesd.k12.or.us,,,,,,,,,,,https://www.lblesd.k12.or.us/about/board-meetings/,,,,,2016 08010_Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/82ba6341-388e-416f-a7f3-29954de51836?download=true&filename=2016%2008010_Agenda.pdf),,,
Clackamas ESD,Board of Directors Workshop,,08/10/2016 05:30:00 PM,08/10/2016 08:00:00 PM,13455 SE 97th Avenue,Clackamas,OR,,,Pam Bonner,,pbonner@clackesd.org,,,,,,,,,,,,,,,https://v3.boardbook.org/Public/PublicHome.aspx?ak=1000564,,,,
Nursing Board,Oregon State Board of Nursing Board meeting via Teleconference,The Board will meet for the purpose of discussing and taking action on disciplinary cases,08/10/2016 04:30:00 PM,08/10/2016 06:00:00 PM,17938 SW Upper Boones Ferry Road, Portland,OR,,,Peggy Lightfoot,971-673-0638,peggy.lightfoot@state.or.us,,,,Peggy Lightfoot,971-673-0638,peggy.lightfoot@state.or.us,,,,,http://www.oregon.gov/OSBN/pages/draft_policies_rules.aspx,,,,,,,,
Arts Commission (OBDD),Arts Commission Teleconference,,08/10/2016 12:30:00 PM,08/10/2016 01:30:00 PM,Teleconference, Salem,OR,"If you would like to participate, please call or email me for call in details before August 9.",,Kat Bell,503-986-0082,kat.bell@oregon.gov,,,,,5039860082,,,,,,,,,,,CommissionMeeting_FY17_TeleCon_ArtsLearning_Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/e3375d57-4fe7-4da3-9b36-d30c612f07f2?download=true&filename=CommissionMeeting_FY17_TeleCon_ArtsLearning_Agenda.pdf),,,
Patient Safety Commission,Board of Directors Meeting,Meeting of the board occurring every other month,08/10/2016 12:30:00 PM,08/09/2016 03:30:00 PM,Legacy Meridian Park Medical Center's Community Health Education Center,Portland,OR,,Yes (in person only),Nicole Staudinger,5039286245,nicole.staudinger@oregonpatientsafety.org,,,,,,,,,,,,,,,http://oregonpatientsafety.org/who-we-are/meeting-materials/,,,,
Governor's Office,Work Group on Dependency Representation ,SB 222 Implementation Work Group ,08/10/2016 12:00:00 PM,08/10/2016 01:15:00 PM,Telephonic 641-715-3580; 933-068, Salem,OR,,,Adrian (Addie) Smith,971-273-8570,adrian.smith@oregon.gov,,,,Adrian (Addie) Smith,971-273-8570,adrian.smith@oregon.gov,,,641-715-3580,933-068,,,,,https://fccdl.in/nSJtLhBM3,C:\Users\installer\Desktop\Voluntary Implementation Work Group Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/f0c3b3f6-d4fb-4ba7-8bf1-713b4ebb9228?download=true&filename=C:\Users\installer\Desktop\Voluntary%20Implementation%20Work%20Group%20Agenda.docx),,,
