"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Public Employees Retirement System,Oregon Savings Growth Plan Advisory Committee,,05/10/2017 09:30:00 AM,05/10/2017 12:30:00 PM,Keizer Civic Center 930 Chemawa Rd NE, Keizer,OR,,,Vitaly Putintsev,503.603.7619,vitaly.putintsev@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/pers/OSGP/Pages/advisory_committee.aspx,,,,
Early Learning Council,Measuring Success Committee May 2017 Meeting,,05/10/2017 01:00:00 PM,05/10/2017 04:00:00 PM,"9140 SW Pioneer Ct, Suite E", Wilsonville,OR,,,Linda Jones,,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/684186053,888-585-9008,719660767,,,,,https://oregonearlylearning.com/meeting/meetingmeasuring-success-committee-may-10-2017/,,,,
"Treasurer, Oregon State",Municipal Debt Advisory Commission,Response to New SEC 15c-2-12 Disclosure Req. for Bank Loans,05/10/2017 01:00:00 PM,05/10/2017 02:00:00 PM,Conference Call, Salem,OR,,,Martha Kellams,503-378-4930,martha.kellams@ost.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/treasury/Divisions/DebtManagement/Documents/MDAC/Agenda%202017.05.10%20FINAL.pdf,,,,
Southern Oregon ESD,Executive Session Meeting - Board of Directors Subcommittee,ORS 192.660(2)(i),05/10/2017 04:30:00 PM,05/10/2017 06:00:00 PM,101 North Grape Street, Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/Page.asp?NavID=1440,,,,,,,,
Nursing Board,Oregon State Board of Nursing Board Meeting via Teleconference,The Board will meet for the purpose of discussing and taking action on disciplinary cases,05/10/2017 04:30:00 PM,05/10/2017 06:00:00 PM,17938 SW Upper Boones Ferry Road,Portland,OR,,,Peggy Lightfoot,971-673-0638,peggy.lightfoot@state.or.us,,,,Peggy Lightfoot,971-673-0638,peggy.lightfoot@state.or.us,,,,,http://www.oregon.gov/OSBN/pages/draft_policies_rules.aspx,,,,,,,,
Southern Oregon ESD,SOESD Budget Committee Meeting,,05/10/2017 06:00:00 PM,05/10/2017 09:00:00 PM,101 North Grape Street, Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/Page.asp?NavID=1440,,,,,,,,
Water Resources Commission,Water Resources Commission Meeting,Agenda,05/11/2017 08:30:00 AM,05/11/2017 05:00:00 PM,"725 Summer Street NE, Room 124",Salem,OR,,Yes,Cindy Smith,503-986-0876,cindy.s.smith@oregon.gov,,,,,,,,,,,,,,,,S:\groups\commission\2017 May\May 11-12 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/f4773169-a5b9-437f-96ae-0a5e98c435db?download=true&filename=S:\groups\commission\2017%20May\May%2011-12%20Agenda.pdf),,,
Governor's Office,Regional Solutions Advisory Committee: South Central,,05/11/2017 10:00:00 AM,05/11/2017 12:00:00 PM,"Klamath Community College, 7390 S 6th St", Klamath Falls,OR,,,Lisa Howard,,lisa.howard@oregon.gov,,,,,,,,,,,,,,,www.regionalsolutions.oregon.gov (http://www.regionalsolutions.oregon.gov),,,,
Independent Living Council,Executive Committee,Planning and bylaw/policy review.,05/11/2017 10:00:00 AM,05/11/2017 12:00:00 PM,"Human Services Building, 500 Summer St NE", Salem,OR,"Please call for details regarding room number and parking. 

Every effort will be made to arrange disability accommodation requests with advanced notice. In keeping with the SILC mission of inclusion, we ask people to refrain from using scents at the meeting so that those with chemical sensitivity can comfortably participate. ",No,Shelly Emery,503-945-6204,shelly.emery@state.or.us,,"https://www.google.com/maps/place/500+Summer+St+NE,+Salem,+OR+97301/@44.942735,-123.0291639,16.71z/data=!4m5!3m4!1s0x54bfff103ab9d359:0x7a84f607bf3e08fc!8m2!3d44.9427052!4d-123.0272987",,Shelly Emery,503-945-6204,shelly.emery@state.or.us,,,,,,,,,,I:\OVRS-SILC\Committees-SILC\EC\EC Meetings\EC 2017\5.2.17 EC Mtg\5.11.17 EC Mtg Pkt\00-5.11.17 Draft EC Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/26069166-0219-423b-8d55-ae17bfed4d31?download=true&filename=I:\OVRS-SILC\Committees-SILC\EC\EC%20Meetings\EC%202017\5.2.17%20EC%20Mtg\5.11.17%20EC%20Mtg%20Pkt\00-5.11.17%20Draft%20EC%20Agenda.docx),,,
"Processed Vegetable Commission, Oregon",Special Meeting,Special meeting to discuss and award administrator contract,05/11/2017 11:00:00 AM,05/11/2017 12:00:00 PM,Phone Meeting, Portland,OR,Please contact Misty Slagle for call in information at 503-924-1181.  The commission will enter into Executive Session pursuant to ORS 192.660(2)(a) and will end executive session at approximately Noon.,No,Misty Slagle,503-924-1181,misty@westernadvocates.com,,,,,,,,,,,,,,,,,,,
"Veterinary Medical Examining Board, Oregon State",Rule Advisory Committee for Facility Licensing,,05/11/2017 12:00:00 PM,05/11/2017 03:00:00 PM,"Portland State Office Building, Rm. 445, 800 NE Oregon St.", Portland,OR,"Review Draft Language for Proposed Rules Relating to 
Posting of Prescription Availability Signage in Veterinary Facilities",No,Lori Makinen,,ovmeb.info@state.or.us,,,,,,,,,,,,,,,,,,,
Human Services Department,Oregon Disabilities Commission,,05/11/2017 01:00:00 PM,05/11/2017 04:00:00 PM,"500 Summer St. NE, Room 473",Salem,OR,,Yes,Jeffrey Puterbaugh,503-947-1189,jeffrey.l.puterbaugh@state.or.us,,,,Kelsey Gleeson,,kelsey.gleeson@state.or.us,,,888-808-6929,4517555,,,,,,,,,
Palliative Care Advisory Council,Palliative Care and Quality of Life Interdisciplinary Advisory Council (PCAC),,05/11/2017 01:00:00 PM,05/11/2017 04:00:00 PM,"Legacy Meridian Park Medical Center, Room  106, 19300 S.W. 65th Ave. ", Tualatin,OR,,Yes,PCAC Information,,PCAC.Info@state.or.us,,,,,,,true,,,,,,,,http://www.oregon.gov/oha/OHPR/Pages/Palliative-Care-Advisory-Council.aspx,,,,
"Health Authority, Oregon",Oregon State Hospital Advisory Board,,05/11/2017 01:00:00 PM,05/11/2017 05:00:00 PM,"Oregon State Hospital, 2600 Center Street NE, Callan Conference Room", Salem,OR,"What: Public meeting of the Oregon State Hospital Advisory Board

When: Thursday, May 11, 1-5 p.m.

Where: Oregon State Hospital, 2600 Center Street NE, Salem, in the Callen Conference Room. The public also can attend via toll-free conference line at 888-278-0296, participant code 4294893.

Agenda: Topics will include public comment, the policy related to pregnancy, the potential closure of the Junction City campus, recruitment for the new superintendent, the OSH budget, retreat follow-up, a legislative update, an update from the Peer Advisory Council, data reports, and the Psychiatric Security Review Board.

Details: The Oregon State Hospital Advisory Board advises the superintendent, Oregon Health Authority Director and legislators on issues related to the safety, security and care of patients. Members include consumers, providers, advocates, legislators, community members, consumer families and OSH union members.

The meeting site is accessible to people with disabilities. To request alternate formats, sign language interpreters, physical accessibility, or other reasonable accommodations, call Oregon State Hospital at 503-945-2852 at least 48 hours before the meeting.

For more information, see the board’s website at http://www.oregon.gov/oha/osh/Pages/advisory-board.aspx. 

# # #

",Yes,Jacee Vangestel,503-945-2852,jacee.m.vangestel@state.or.us,,,,,503-945-2852,,,,888-278-0296,429-4893,,,,,http://www.oregon.gov/oha/osh/Pages/advisory-board.aspx,,,,
Fish and Wildlife Department,Fish Restoration and Enhancement Board,"The Oregon Department of Fish and Wildlife’s Fish Restoration and Enhancement Board will meet on Friday, May 12 in Madras.",05/12/2017 08:00:00 AM,05/13/2017 02:30:00 PM,Inn at Cross Keys Station, Madras,OR,"The Oregon Department of Fish and Wildlife’s Fish Restoration and Enhancement Board will meet on Friday, May 12 in Madras.

The board will meet on May 12 from 8 a.m. to 2:30 p.m.  at the Inn at Cross Keys Station located at 
66 NW Cedar Street in Madras to review thirteen project proposals. The agenda also includes board updates and planning. The meeting is open to the public, and there will be an opportunity for public comment.  Following the meeting the board plans to tour fish passage sites near Madras.

On Saturday, May 13th from 8 a.m. to 2 p.m., the board will tour fish passage sites in Bend, youth fishing ponds, and Wizard Falls Hatchery.  Members of the public may accompany the group during the tour but must provide their own transportation. For additional information on the field trip, contact STEP Program staff at (503) 947-6211.

Reasonable accommodations will be provided as needed for individuals requesting assistive hearing devices, sign language interpreters or large-print materials. Individuals needing these types of accommodations may call the Information and Education Division at 800-720-6339 or 503-947-6002 at least 24 hours in advance of the meeting.

Created by the Oregon Legislature in 1989, the Fish Restoration and Enhancement Program is funded by a surcharge on sport and commercial fishing licenses and commercial poundage fees. The program’s seven-member citizen board reviews fish restoration and enhancement project proposals and makes funding recommendations to the Oregon Fish and Wildlife Commission.

For more information on the Fish Restoration and Enhancement Program, or to view information regarding current R&E Program applications, visit www.dfw.state.or.us/fish/RE or contact program coordinator Kevin Herkamp at (503) 947-6232.
",,Kevin Herkamp,503-947-6232,kevin.herkamp@state.or.us,,,,,,,,http://www.dfw.state.or.us/agency/public_meetings.asp,,,,,,,,,,,
Water Resources Commission,Water Resources Commission Meeting,Meeting Agenda,05/12/2017 08:00:00 AM,05/12/2017 12:00:00 PM,"725 Summer Street NE, Room 124",Salem,OR,,Yes,Cindy Smith,503-986-0876,cindy.s.smith@oregon.gov,,,,,,,,,,,,,,,,S:\groups\commission\2017 May\May 11-12 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/eb187d30-5e77-49ea-8ae8-01e23cecd252?download=true&filename=S:\groups\commission\2017%20May\May%2011-12%20Agenda.pdf),,,
Chiropractic Examiners Board,Regular Board Meeting,,05/12/2017 08:30:00 AM,05/12/2017 05:00:00 PM,"2900 NE 132nd Ave,", Portland,OR,"University of Western States, Hampton Hall
Public Session begins at 1:00 pm","Yes, until end of day",Cassandra Skinner,,cass.skinner@oregon.gov,,https://www.uws.edu/about/find-us/,,,,,,,1-888-273-3658,103386,http://www.oregon.gov/OBCE/pdfs/051217_Revised_Public_Agenda.pdf,,,,,051217_Revised_Public_Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/0f64add5-8f9d-4a6e-9520-fdd5e1276bc9?download=true&filename=051217_Revised_Public_Agenda.pdf),,,
"Criminal Justice Commission, Oregon",CJC Commission Meeting,,05/12/2017 09:00:00 AM,05/12/2017 09:30:00 AM,by phone, Salem,OR,This is a call-in only meeting.,,Julie Vaughn,503-378-4830,julie.vaughn@oregon.gov,,,,,,,,,,,,,,,,PM CJC Agenda May 2017.pdf (https://data.oregon.gov/views/gs36-7t8m/files/b9903865-a75e-4d6e-8da2-94964a030e98?download=true&filename=PM%20CJC%20Agenda%20May%202017.pdf),,,
"Innovation Council, Oregon",Oregon InC Meeting,,05/12/2017 09:00:00 AM,05/12/2017 12:00:00 PM,"Beaverton Building, 12725 SW Millikan Way, Suite 300, Training Center", Beaverton,OR,,Yes,Heather Stafford,,heather.stafford@oregon.gov,,,,,,,,,,,http://www.oregon4biz.com/Innovate-&-Create/Oregon-InC/Meetings/,,,,http://www.oregon4biz.com/Innovate-&-Create/Oregon-InC/Meetings/,,,,
"Health Licensing Agency, Oregon",Advisory Council of Hearing Aids,Board Meeting,05/12/2017 01:00:00 PM,05/12/2017 04:00:00 PM,1430 Tandem Ave. NE Suie 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,,,,,,
InterMountain ESD,IMESD Budget Committee and Regular Board Meeting,,05/15/2017 06:30:00 AM,05/12/2017 09:30:00 AM,InterMountain ESD, Pendleton,OR,,,Marla Royal,,marla.royal@imesd.k12.or.us,,,,,,,,,,,,,,,,IMESDAgenda_May15-17(combo).pdf (https://data.oregon.gov/views/gs36-7t8m/files/5f7f2680-b88c-49ed-9980-d8322c78c29d?download=true&filename=IMESDAgenda_May15-17(combo).pdf),,,
Business Oregon,CDBG Proposed Amended 2017 MOD Public Comment Period,30-day public comment period,05/15/2017 08:00:00 AM,06/13/2017 05:00:00 PM, ,Salem,OR,"The proposed amended 2017 Method of Distribution addresses the use of CDBG funds for the program year January 1, 2017, through December 31, 2017, and is available on the CDBG program web page.",yes,Becky Baxter,,becky.baxter@oregon.gov,,,,,,,,,,,http://www.oregon4biz.com/calendar.php?site=IFA&site_category=general,,,,,,,,
Accountancy State Board,Board of Accountancy Work Session + Public Session,,05/15/2017 08:30:00 AM,05/15/2017 05:00:00 PM,3218 Pringle Rd SE 2nd Floor Conference Room, Salem,OR,,yes,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Electrologist and Body Art Practitioners,Board Meeting,05/15/2017 10:00:00 AM,05/15/2017 05:00:00 PM,1430 Tandem Ave. NE Suite 180,Salem ,OR,,,Maria Gutierrez,,maria.s.gutierrez@sate.or.us,,,,,,,,,,,,,,,,,,,
"Forest Resources Institute, Oregon",Nominations Working Group Conf. Call,,05/15/2017 10:00:00 AM,05/15/2017 10:30:00 AM,"317 SW Sixth Ave., Suite 400", Portland,OR,,,Kathy Storm,,storm@ofri.org,,,,,,,,,866-377-3315,9438581,,,,,,,,,
Public Safety Standards and Training Department,DPSST Basic Police Revision Advisory Panel ,,05/15/2017 11:00:00 AM,05/15/2017 02:00:00 PM,"Department of Public Safety Standards & Training, Rm A235 - 4190 Aumsville Hwy SE ",Salem ,OR,,,Staci Yutzi ,503-932-0865,syutzie@dpsst.state.or.us,,,,,,,,,,,http://www.oregon.gov/dpsst/BD/Pages/Agenda.aspx,,,,,,,,
Governor's Office,Regional Solutions Advisory Committee: Southern,,05/15/2017 01:00:00 PM,05/15/2017 03:00:00 PM,"Josephine County Courthouse, 500 NW 6th St", Grants Pass,OR,,,Lisa Howard,,lisa.howard@oregon.gov,,,,,,,,,,,,,,,www.regionalsolutions.oregon.gov (http://www.regionalsolutions.oregon.gov),,,,
"Library, Oregon State","LSTA Advisory Council Meeting at the State Library, May 15 & 16, 2017",,05/15/2017 01:00:00 PM,05/16/2017 03:00:00 PM,"State Library, 250 Winter St. NE, Room 103", Salem,OR,,,Ferol Weyand,503-378-2525,ferol.weyand@state.or.us,,,,,,,,,,,https://www.oregon.gov/osl/LD/Pages/LSTA/council.aspx,,,,https://www.oregon.gov/osl/LD/Pages/LSTA/council.aspx,,,,
"Counselors and Therapists, Board of Licensed Professional",OBLPCT Laws and Rules Committee,OBLPCT Laws and Rules Committee,05/15/2017 03:00:00 PM,05/15/2017 05:00:00 PM,3218 Pringle Road SE (First Floor Conference Room), Salem,OR,,,Lonnie Knotts,,lonnie.p.knotts@state.or.us,,,,,,,,,,,http://www.oregon.gov/oblpct/Board_Meetings/Meeting_Notice_LR,,,,,O:\BOARD MEETINGS\2017 BLPCT\5-15-17 Laws & Rules Committee\Meeting_Notice_LRC_5-15-17.pdf (https://data.oregon.gov/views/gs36-7t8m/files/c05b95fc-0cbc-4701-b074-7c8445afa8d4?download=true&filename=O:\BOARD%20MEETINGS\2017%20BLPCT\5-15-17%20Laws%20&%20Rules%20Committee\Meeting_Notice_LRC_5-15-17.pdf),,,
Oregon Commission for the Blind,BECC Special Informational Meeting,,05/15/2017 03:30:00 PM,05/15/2017 05:00:00 PM,Oregon Commission for the Blind - 535 SE 12th Avenue,Portland,OR,,yes,Mark Riesmeyer,971.673.1596,Mark.Riesmeyer@state.or.us,,,,,,,,,404-443-6397,943611#,,,,,,5-15-17 BECC Special Informational Meeting.docx (https://data.oregon.gov/views/gs36-7t8m/files/64ffba34-e7d2-4104-8f73-e122804bf4be?download=true&filename=5-15-17%20BECC%20Special%20Informational%20Meeting.docx),,,
Public Utility Commission,Special Public Meeting,LC 66 Public Comment Hearing,05/15/2017 06:00:00 PM,05/15/2017 08:30:00 PM,1120 SW 5th Ave, Portland,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,5033730885,,,,,,,,,,,,,,
"Engineering and Land Surveying, Board of Examiners for",Special Board Meeting,,05/16/2017 08:00:00 AM,05/16/2017 05:00:00 PM,670 Hawthorne Ave SE Ste 220,Salem,OR,,,Shawn Thornhill,5033622666,osbeels@osbeels.org,,,,,,,,,,,,,,,http://www.oregon.gov/Osbeels/Pages/meetings.aspx,,,,
Accountancy State Board,Board of Accountancy Executive Session ,Review investigation reports,05/16/2017 08:30:00 AM,05/16/2017 03:30:00 PM,3218 Pringle Rd SE 2nd Floor Conference Room,Salem ,OR,,,Joel Parks,503-378-2262,joel.parks@oregon.gov,,,,,,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,05/16/2017 09:30:00 AM,05/16/2017 12:00:00 PM,"201 High Street SE, Hearing Room", Salem,OR,,,Kristi Collins,,kristi.collins@state.or.us,,,,,,,,,,,,,,,,,,,
Patient Safety Commission,Proposed Budget Rule Making Hearing,,05/16/2017 01:00:00 PM,05/16/2017 02:00:00 PM,"Oregon Patient Safety Commission Office, 2501 SW 1st Avenue, Suite 200",Portland,OR,,Yes,Nicole Staudinger,5039286245,nicole.staudinger@oregonpatientsafety.org,,,,,15039286245,,,,,,,,,,,,,,
"State Police Gaming Division, Oregon ",Oregon State Athletic Commission Meeting,,05/16/2017 01:00:00 PM,05/16/2017 03:00:00 PM,4190 Aumsville Hwy SE,Salem ,OR,Room A234,Yes,Josi McDaniel,503-378-8739,osac@state.or.us,,,,Trista Robischon,503-378-8739,osac@state.or.us,,,888-808-6929,6902410,,,,,http://www.oregon.gov/osp/OSAC/Pages/Public_Meetings.aspx,Proposed Public Meeting Agenda 051617.pdf (https://data.oregon.gov/views/gs36-7t8m/files/f6393224-efaa-4fae-875d-24a1680561ed?download=true&filename=Proposed%20Public%20Meeting%20Agenda%20051617.pdf),,,
Human Services Department,CANCELLED: Oregon Disabilities Commission Executive Committee,,05/16/2017 01:30:00 PM,05/16/2017 03:00:00 PM,"500 Summer St. NE, Room 160", Salem,OR,,Yes,Jeffrey Puterbaugh,503-947-1189,jeffrey.l.puterbaugh@state.or.us,,,,Kelsey Gleeson,,kelsey.gleeson@state.or.us,,,888-808-6929,4517555,,,,,,,,,
Public Safety Standards and Training Department,Private Security/Investigators Policy Committee ,Quarterly Meeting ,05/16/2017 01:30:00 PM,05/16/2017 03:30:00 PM,Boardroom at the Department of Public Safety Standards and Training located at 4190 Aumsville Hwy SE , Salem,OR,,,Mona Riesterer ,503-378-2431,mona.riesterer@state.or.us,,,,,,,,,888-808-6929,8917117,http://www.oregon.gov/dpsst/BD/Pages/Agenda.aspx,,,,,,,,
Public Utility Commission,CANCELED  Special Public Meeting - Administrative Issues/Legislative Coordination,,05/16/2017 01:30:00 PM,05/16/2017 02:30:00 PM,"201 High Street SE, Hearing Room", Salem,OR,,,Kristi Collins,,kristi.collins@state.or.us,,,,,,,,,,,,,,,,,,,
Accountancy State Board,Board of Accountancy Public Session,,05/16/2017 02:00:00 PM,05/16/2017 05:00:00 PM,3218 Pringle Rd SE  2nd Floor Conference Room, Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,,,,,,,,
High Desert ESD,Budget Committee and Board Meeting,,05/16/2017 05:30:00 PM,05/16/2017 07:30:00 PM,2804 SW Sixth Street, Redmond,OR,,,Shelley Knutz,541.693.5608,shelley.knutz@hdesd.org,,,,,,,,,,,,,,,http://www.hdesd.org/about/board/meeting-agendas-and-minutes/,,,,
"Ryegrass Growers Seed Commission, Oregon",Ryegrass Commission Meeting,Budget Hearing Meeting,05/16/2017 06:00:00 PM,05/16/2017 08:00:00 PM,Cascade Grill, Albany,OR,,,Commissions,5033642944,jenny@ostlund.com,,,,,,,,,,,,,,,,,,,
Landscape Architect Board,Quarterly Board Meeting,,05/17/2017 09:00:00 AM,05/17/2017 04:30:00 PM,"Assoc. Center, 707 13th St. SE",Salem,OR,,yes,Christine Valentine,503-589-0093,oslab.info@state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/landarch/Pages/minutes.aspx,,,,
Agriculture Department,Pesticide Analytical and Response Center (PARC) Board Meeting,Bi-monthly regularly scheduled meeting. ,05/17/2017 09:00:00 AM,05/17/2017 12:00:00 PM,"Basement Hearings Room, Oregon Department of Agriculture, 635 Capitol St. NE",Salem,OR,,Yes,Theodore Bunch Jr. ,503-986-4562,tbunch@oda.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODA/programs/Pesticides/Pages/PARC.aspx,,,,
Medical Assistance Program Administration,All Plan System Technical,Monthly Meeting ,05/17/2017 09:00:00 AM,05/17/2017 12:00:00 PM,"500 Summer St NE, HSB Conference Room 137 C+D", Salem,OR,,Yes,Michelle Hatfield,,michelle.m.hatfield@state.or.us,,,,,,,,,1-888-278-0296,310477,,,,,http://www.oregon.gov/oha/healthplan/Pages/CCO-System-Technical.aspx,,,,
"Health Authority, Oregon",Provider Directory Advisory Group Meeting,,05/17/2017 09:30:00 AM,05/17/2017 12:30:00 PM,Portland State Office Building 800 NE Oregon St Room 1D, Portland,OR,,Yes,Karen Hale,,Karen.Hale@state.or.us,,,,,,,true,https://attendee.gotowebinar.com/register/4093450286196112641,877-873-8018,333-9892 ,http://www.oregon.gov/oha/OHIT/Pages/PDAC.aspx,,,,http://www.oregon.gov/oha/OHIT/Pages/PDAC.aspx,,,,
"Asian and Pacific Islander Affairs, Commission on",Regular OCAPIA Meeting,Regular OCAPIA Meeting,05/17/2017 09:30:00 AM,05/17/2017 12:00:00 PM,"Capitol building, Room 243, 900 Court St. NE, ZIP 97301",Salem,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCAPIA/Pages/calendar_of_events.aspx,,,,
"Workforce Investment Board, State",Oregon Workforce Investment Board Executive Committee,Monthly OWIB Executive Committee meeting to discuss upcoming topics of OWIB,05/17/2017 01:30:00 PM,05/17/2017 03:00:00 PM,"Clackamas Community College, Wilsonville Training Center, 293535 SW Town Center Loop East", Wilsonville,OR,,Yes,Clay Martin,503-934-0910,clay.martin@oregon.gov,,,,,,,,,,,http://www.oregon.gov/owib/committees/Documents/2017_OWIB_Exec/May_17_Exec/FINAL%20May%202017%20Exec%20Agenda.pdf,,,,,,,,
Southern Oregon ESD,SOESD Board of Directors Meeting,,05/17/2017 06:00:00 PM,05/17/2017 09:00:00 PM,101 North Grape Street, Medford,OR,,,Jessica Bach,541-776-8590,jessica_bach@soesd.k12.or.us,,,,,,,,,,,http://www.soesd.k12.or.us/Page.asp?NavID=1440,,,,,,,,
Columbia Gorge ESD,Board of Directors - Work Session,,05/17/2017 06:30:00 PM,05/17/2017 07:00:00 PM,1100 East 12th Street, The Dalles,OR,Work session to interview prospective board member.,No,Mary Bowen,541-298-5155,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-298-5155,mbowen@cgesd.k12.or.us,,,,,https://www.cgesd.k12.or.us/cms/lib/OR01915656/Centricity/Domain/13/May%202017%20Agenda.pdf,,,,,May 2017 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/8b94832a-b75f-4963-ba6c-5b700bb8ac37?download=true&filename=May%202017%20Agenda.pdf),,,
Columbia Gorge ESD,Board of Directors Meeting,Regular monthly meeting,05/17/2017 07:00:00 PM,05/17/2017 08:00:00 PM,1100 East 12th Street, The Dalles,OR,,Yes,Mary Bowen,541-298-5155,mbowen@cgesd.k12.or.us,,,,Mary Bowen,541-298-5155,mbowen@cgesd.k12.or.us,,,,,https://www.cgesd.k12.or.us/cms/lib/OR01915656/Centricity/Domain/13/May%202017%20Agenda.pdf,,,,https://www.cgesd.k12.or.us/cms/lib/OR01915656/Centricity/Domain/13/May%202017%20Minutes.pdf,May 2017 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/ea4cb304-436b-40ee-98e6-7aa8a1c3552c?download=true&filename=May%202017%20Agenda.pdf),,,
Health Evidence Review Commission,Health Evidence Review Commission (HERC),,05/18/2017 01:30:00 AM,05/18/2017 04:30:00 AM,"Clackamas Community College, Wilsonville Training Center, Rooms 111-112, 29353 SW Town Center Loop E ",Wilsonville,OR,,Yes,HERC Info,,herc.info@state.or.us,,,,,,,true,,,,,,,,http://www.oregon.gov/oha/herc/Pages/Meeting-Materials-Archives.aspx,,,,
"Beef Council, Oregon",Budget Hearing,Confernece Call 1-866-210-1669 enter access code 7980221,05/18/2017 08:00:00 AM,05/18/2017 08:30:00 AM,Oregon Beef Council Office - Conference Call, Portland,OR,"Conference Call 1-866-210-1669 and enter access code 7980221 followed by # sign.

Or come to Oregon Beef Council Office 1827 NE 44th Ave,
Portland, Oregon 97213

",,Julie Hoffman,503-274-2333,Julie@orbeef.org,,,,,,,,,,,,,,,,,,,
Housing/Community Services Department,Public Hearing for the Financing of Multi-Family Housing Development with Proceeds from the Sale of Tax-Exempt Revenue Bonds,,05/18/2017 08:00:00 AM,05/18/2017 08:15:00 AM,"725 Summer Street NE, Suite B", Salem,OR,See attached,Yes,Laurie LeCours,,Laurie.LeCours@oregon.gov,,,,Margo McGivney,503-986-2057,Margo.McGivney@oregon.gov,,,,,,,,,,TEFRA Notice-Cornerstone-PortlandRoad.pdf (https://data.oregon.gov/views/gs36-7t8m/files/1d819025-5c81-4235-8223-c3866ce1d243?download=true&filename=TEFRA%20Notice-Cornerstone-PortlandRoad.pdf),,,
Health Evidence Review Commission,Value-based Benefits Subcommittee (VbBS),,05/18/2017 08:00:00 AM,05/18/2017 01:00:00 PM,"Clackamas Community College, Wilsonville Training Center, Rooms 111-112, 29353 SW Town Center Loop E ",Wilsonville,OR,,Yes,HERC Info,,herc.info@state.or.us,,,,,,,true,,,,,,,,http://www.oregon.gov/oha/herc/Pages/Meeting-Materials-Archives.aspx,,,,
Housing/Community Services Department,Public Hearing for the Financing of Multi-Family Housing Development with Proceeds from the Sale of Tax-Exempt Revenue Bonds,,05/18/2017 08:30:00 AM,05/18/2017 08:45:00 AM,"725 Summer Street NE, Suite B", Salem,OR,See attached,Yes,Laurie LeCours,,Laurie.LeCours@oregon.gov,,,,Margo McGivney,503-986-2057,Margo.McGivney@oregon.gov,,,,,,,,,,TEFRA Notice-14th and Raleigh.pdf (https://data.oregon.gov/views/gs36-7t8m/files/096edb45-bf87-4e09-9637-e997a8b458dd?download=true&filename=TEFRA%20Notice-14th%20and%20Raleigh.pdf),,,
"Trawl Commission, Oregon",Budget Hearing and Public Meeting,FY 2017-2018 Budget Hearing and Quarterly Business Meeting,05/18/2017 09:00:00 AM,05/18/2017 04:00:00 PM,Holiday Inn Express 204 West Marine Dr, Astoria,OR,,,Kathy Lindley Hall,541-469-7830,kathy@ortrawl.org,,,,,,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Direct Entry Midwifery,Board Meeting,05/18/2017 09:00:00 AM,05/18/2017 04:00:00 PM,1430 Tandem Ave NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,,,,,,
