"incidentnum","servyr","servnumid","primaryoc","moniker","age_class","from_age","to_age","race","ethnic","sex","height","weight","build","complexion","eyes","glasses","hair","hairlenght","voice","facialhair","facialhaircolor","peculiarities","comment","created_on","updated_on"
"175019-2016","2016","175019-2016-01",,,,"19","22","Hispanic or Latino","Hispanic or Latino","Male",,,"Unknown",,"Unknown",,"Black","Short",,"None",,,"Shirt: T-SHIRT WHITE LETTERS  Trademark: SPIKED HAIR","2016-07-22 00:37:17.0000000","2016-07-22 00:37:17.0000000"
"131889-2015","2015","131889-2015-02",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2015-06-10 12:43:41.0000000","2015-06-10 12:43:41.0000000"
"139984-2021","2021","139984-2021-01","FS-35990001-O21",,,"18","99","Black",,"Male",,,,,,,,,,,,,,"2021-08-06 11:09:29.0000000","2021-08-06 11:09:52.0000000"
"062066-2016","2016","062066-2016-02",,,,,,"Black",,"Male","5'10''",,"Small","Dark",,,,,,,,,"Shirt: RED SHIRT","2016-03-15 07:18:19.0000000","2016-03-15 07:18:19.0000000"
"246878-2018","2018","246878-2018-02","F1-12990002-C4",,,"18","20","Black","Non-Hispanic or Latino","Male","5'10''","160",,,,,,,,,,,"Clothing Description: LIGHT SHIRT. Trademark: SAGGING.","2018-11-15 08:12:42.0000000","2018-11-15 08:12:42.0000000"
"026217-2020","2020","026217-2020-01","F1-12990002-C4",,,"15","20","Black","Non-Hispanic or Latino","Male","6'02''",,,"Medium",,,,,,"Goatee",,,"Clothing Description: BLACK PANTS, BLACK SHIRT","2020-02-09 17:16:17.0000000","2020-02-09 17:16:17.0000000"
"141383-2018","2018","141383-2018-01","MA-23990193-F190",,,"17","99","Black","Non-Hispanic or Latino","Male","6'00''","180","Medium","Dark",,,"Black","Short",,"Goatee","Black",,"Clothing Description: RED SHORT SHLEEVE SHIRT; DARK PANTS; WHITE SHOES Trademark: POSSIBLE STUDS; POSSIBLE TATTOOS","2018-06-30 13:20:05.0000000","2018-06-30 13:20:08.0000000"
"204989-2017","2017","204989-2017-01",,,,"25","35","Hispanic or Latino",,"Male","5'08''","140","Medium","Light",,,"Brown","Short",,,,,"Shirt: BLACK Jacket: NONE Pants: BLUE JEANS","2017-09-07 19:11:24.0000000","2017-09-07 19:11:24.0000000"
"019472-2017","2017","019472-2017-01",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2017-01-26 08:16:05.0000000","2017-01-26 08:16:05.0000000"
"254106-2016","2016","254106-2016-04",,,,,,"Hispanic or Latino",,"Male",,,,,,,,,,,,,,"2016-10-25 21:34:27.0000000","2016-10-25 21:34:27.0000000"
"169859-2019","2019","169859-2019-01","MA-22990004-F1",,,"18","25","Black",,"Male",,,,,,,,,,,,,"Comments: SUSPECT BROKE WINDOW AND ENTERED VEHICLE.","2019-08-21 20:26:39.0000000","2019-08-21 20:26:40.0000000"
"008489-2020","2020","008489-2020-01","F2-22990002-E5",,,"0","0","Unknown",,"Male",,,,,,,,,,,,,,"2020-01-14 08:21:32.0000000","2021-02-21 20:20:40.0000000"
"108763-2020","2020","108763-2020-01","MA-22990004-F1",,,"17","99","Black","Non-Hispanic or Latino","Male",,,"Heavy","Dark","Unknown","No","Black","Short","Unknown","None","N/A",,"Comments: SUSP#1 Clothing Description: WHITE TSHIRT, ORANGE SHORTS, WHITE SHOES","2020-06-21 07:48:50.0000000","2020-06-21 07:48:51.0000000"
"010896-2021","2021","010896-2021-01","F2-22990002-E5",,,"0","0","Black","Unknown","Male",,,,,,,,,,,,,,"2021-01-19 05:58:04.0000000","2021-01-25 08:25:42.0000000"
"144656-2019","2019","144656-2019-02","FS-22990001-E1",,,"17","99","Black",,"Male","5'10''","250","Heavy",,,,,,,,,,"Clothing Description: BLACK TOP, BLACK PANTS, BLACK MASK, BLACK SHOES","2019-07-18 18:56:45.0000000","2019-07-18 18:56:46.0000000"
"102559-2017","2017","102559-2017-01",,,,"15","25","Black",,"Male","5'08''","200",,,,,,,,,,,,"2017-05-08 07:27:18.0000000","2017-05-08 07:27:18.0000000"
"185044-2020","2020","185044-2020-02","F1-12990002-C4",,,"0","0","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2020-10-17 02:20:35.0000000","2021-06-10 10:16:52.0000000"
"040803-2020","2020","040803-2020-02","F1-12990002-C4",,,"18","99","Black","Non-Hispanic or Latino","Male","5'57''",,,,,,,,,,,,,"2020-03-01 07:15:18.0000000","2020-03-01 07:15:19.0000000"
"001656-2017","2017","001656-2017-03",,,,,,"Black",,"Male",,,,,,,,,,,,,"Comments: UNK SUSPS BROKE INTO COMP'S HOME AND STOLE COMP'S GUNS","2017-01-03 03:08:07.0000000","2017-01-03 03:08:07.0000000"
"146417-2019","2019","146417-2019-01","F2-13150005-D4",,,"30","39","Black","Hispanic or Latino","Male","7'70''","160",,,,,,,,,,,"Clothing Description: WHITE SHIRT GREY PANTS","2019-07-20 21:33:39.0000000","2019-07-20 21:33:58.0000000"
"165088-2016","2016","165088-2016-02",,,,"17","19","Black",,"Male","5'07''","180","Thin",,,,"Black","Short",,,,,"Shirt: NO SHIRT Jacket: NONE Pants: BLACK","2016-07-07 23:09:10.0000000","2016-07-07 23:09:10.0000000"
"009851-2018","2018","009851-2018-01",,,,"20","30","Black","Non-Hispanic or Latino","Male",,,"Medium","Dark",,,"Black",,,,,,"Jacket: GRAY SWEATSHIRT Pants: DARK SWEATPANTS Additional Clothing: GRAY SWEATSHIRT, DARK SWEATPANTS","2018-01-14 05:11:17.0000000","2018-01-14 05:11:17.0000000"
"012748-2021","2021","012748-2021-02","MB-54990007-V11",,,"17","21","White","Hispanic or Latino","Male",,,,,,,,,,,,,"Clothing Description: BLACK PANTS, BLACK SWEATER, WHITE SHIRT","2021-01-25 05:43:05.0000000","2021-01-25 05:43:08.0000000"
"186714-2018","2018","186714-2018-01","FS-24110003-G13",,,"0","0","Black","Unknown","Male",,,,,,,,,,,,,"Clothing Description: ALL BLACK","2018-08-23 14:21:33.0000000","2021-01-21 14:37:08.0000000"
"013584-2019","2019","013584-2019-02","F2-12990001-C2",,,"35","40","White",,"Male",,"190","Heavy",,,,"Black",,,,,,,"2019-01-22 00:25:22.0000000","2019-01-22 00:24:36.0000000"
"169102-2015","2015","169102-2015-01",,,,"20","25","Black","Non-Hispanic or Latino","Male",,,"Medium",,,,"Black","Short",,,,,,"2015-07-23 12:09:35.0000000","2015-07-23 12:09:35.0000000"
"149688-2018","2018","149688-2018-02","FS-23990194-F194",,,"20","30","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2018-07-14 02:55:39.0000000","2018-07-14 02:55:44.0000000"
"057734-2021","2021","057734-2021-02","F1-12990002-C4",,,"18","25","Black","Non-Hispanic or Latino","Male","5'10''","200",,,,,,,,,,,"Comments: - THIS IS ANOTHER SUSPECT INSIDE THE VEHICLE IN THE AGG ROBBERY. - THIS IS NOT THE DRIVER. - THIS IS A PASSENGER IN THE VEHICLE IN THE AGG ROBBERY THAT TOOK PLACE. Clothing Description: BLACK HOODIE, BLUE JEANS.","2021-04-04 23:59:57.0000000","2021-04-04 23:59:57.0000000"
"155056-2020","2020","155056-2020-01","NA-99999999-Z23","MOODY",,"15","28","Black","Non-Hispanic or Latino","Male",,,,"Dark",,,,,,,,,"Clothing Description: RED SHIRT","2020-09-01 03:04:24.0000000","2020-09-01 03:04:24.0000000"
"080910-2019","2019","080910-2019-01","FS-24110003-G14",,,"30","35","White","Unknown","Male","5'06''","140",,,,,,,,,,,"Comments: FLED ON FOOT FROM LOCATION Clothing Description: BROWN JACKET, BLUE JEANS, SLIDES","2019-04-24 12:05:30.0000000","2021-03-01 12:16:35.0000000"
"057356-2020","2020","057356-2020-01","MC-99999999-V14",,,"17","20","White","Hispanic or Latino","Male","5'56''","150",,,,,,,,,,,,"2020-04-02 16:17:11.0000000","2020-04-02 16:17:11.0000000"
"126678-2021","2021","126678-2021-02","F2-13150004-D3",,,"0","0","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,"Clothing Description: UNKN","2021-07-17 02:52:39.0000000","2021-12-07 15:10:19.0000000"
"222853-2017","2017","222853-2017-01",,,,"16","18","Hispanic or Latino","Hispanic or Latino","Male",,,,,,,"Brown","Short",,,,,,"2017-09-29 13:22:44.0000000","2017-09-29 13:22:44.0000000"
"290779-2017","2017","290779-2017-01",,"PIERE",,"30","34","Black",,"Male",,,,,,,,,,,,,,"2017-12-23 21:31:27.0000000","2017-12-23 21:31:27.0000000"
"038160-2016","2016","038160-2016-01",,,,,,"Hispanic or Latino","Hispanic or Latino","Male",,,,,,,,,,,,,,"2016-02-17 03:32:31.0000000","2016-02-17 03:32:31.0000000"
"168551-2016","2016","168551-2016-03",,,,,,"Hispanic or Latino","Hispanic or Latino","Male",,,,,,,,,,,,,"Shirt: RED T Hat: BLK HAT","2016-07-13 01:49:14.0000000","2016-07-13 01:49:14.0000000"
"250009-2016","2016","250009-2016-02",,,,"16","18","Hispanic or Latino","Hispanic or Latino","Male",,,,,,,,,,,,,"Shirt: WHITE SHIRT Pants: BLUE JEAN SHORTS","2016-10-20 16:26:28.0000000","2016-10-20 16:26:28.0000000"
"138592-2020","2020","138592-2020-02","F2-13150005-D4",,,"22","25","Black","Non-Hispanic or Latino","Male","6'6''","180",,,,,"Black","Medium",,,,,"Comments: SHORT AFRO","2020-08-09 17:31:08.0000000","2020-08-09 17:31:09.0000000"
"264569-2018","2018","264569-2018-01","MB-23990191-F184",,,"20","30","White","Hispanic or Latino","Male","5'10''","230",,,,,"Black","Short",,"Beard",,,,"2018-12-11 07:34:49.0000000","2018-12-11 07:34:52.0000000"
"253913-2018","2018","253913-2018-01","FS-24110003-G13",,,"36","38","Black","Non-Hispanic or Latino","Male","5'08''","160","Slight","Dark",,,,,,,,,"Clothing Description: GRAY SHIRT, GRAY PANTS","2018-11-25 06:47:21.0000000","2020-08-10 18:57:56.0000000"
"195179-2017","2017","195179-2017-01",,,,,,,,"Male",,,,,,,,,,,,,,"2017-08-26 12:42:11.0000000","2017-08-26 12:42:11.0000000"
"000868-2019","2019","000868-2019-02","MA-22990004-F1",,,"17","99","White","Hispanic or Latino","Male",,,,,,,,,,,,,"Comments: POSSIBLE ADDRESS IF 3420 HIDALGO DRIVE #102","2019-01-02 13:40:07.0000000","2019-01-02 13:40:07.0000000"
"056206-2016","2016","056206-2016-01",,,,"19","24","Hispanic or Latino","Hispanic or Latino","Male","5'11''","170","Light","Light","Brown",,"Black","Unknown","Masculine","Mustache","Black",,"Shirt: BLACK HOODY Jacket: NONE Pants: BLUE JEANS Shoe: BLACK BOOTS Hat: NONE Additional Clothing: SAME AS ABOVE","2016-03-08 12:32:28.0000000","2016-03-08 12:32:28.0000000"
"029480-2021","2021","029480-2021-01","FS-29990044-L101",,,"17","25","White","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2021-02-23 15:40:18.0000000","2021-02-23 15:40:19.0000000"
"154342-2019","2019","154342-2019-01","F2-22990002-E6",,,"20","30","Black","Non-Hispanic or Latino","Male","5'10''","180","Light","Dark","Unknown","No","Black","Short","Unknown","None","N/A",,"Clothing Description: BLACK T SHIRT, BLACK PANTS, BLACK SHOES AND A GREEN BACKPACK","2019-07-31 14:03:17.0000000","2019-07-31 14:03:20.0000000"
"128196-2016","2016","128196-2016-01",,,,"25","30","Black","Non-Hispanic or Latino","Male","5'07''","180","Medium",,"Brown",,"Black",,,,,,,"2016-05-29 00:59:48.0000000","2016-05-29 00:59:48.0000000"
"230782-2017","2017","230782-2017-02",,,,,,"Black","Non-Hispanic or Latino","Male","6'60''","200",,"Dark",,,,,,,,,"Shirt: WHITE Pants: BLACK","2017-10-09 05:02:10.0000000","2017-10-09 05:02:10.0000000"
"131446-2018","2018","131446-2018-01","F1-12990002-C4",,,"25","28","White","Hispanic or Latino","Male","5'05''","170","Medium","Medium",,,,,,,,,"Comments: POSSIBLY A HISPANIC MALE, 25-28 YEARS OF AGE MEDIUM BUILD, COVERED FACE WITH MASK ARMED WITH SILVER HANDGUN","2018-06-18 21:23:29.0000000","2018-06-18 21:23:31.0000000"
"220843-2017","2017","220843-2017-01",,,,"23","28","Black",,"Male","5'07''",,,,,,,,,,,,"Jacket: BLACK Additional Clothing: WEARING MASK","2017-09-26 23:29:16.0000000","2017-09-26 23:29:16.0000000"
"168247-2021","2021","168247-2021-01","MB-54990007-V11",,,"20","40","Black","Non-Hispanic or Latino","Male","5'10''","160","Thin","Dark",,,"Black","Other",,,,,"Clothing Description: PURPLE SHIRT, BLUE JEANS AND BLACK SNEAKERS Trademark: UNK SUSP HAD BRAIDS/CORNROLLS","2021-09-23 18:29:41.0000000","2021-09-23 18:29:42.0000000"
"184640-2019","2019","184640-2019-01","MB-23990191-F184",,,"35","45","White",,"Male","5'10''",,,,,,,,,,,,"Clothing Description: BLUE BASEBALL HAT, TEE SHIRT AND SHORTS","2019-09-10 22:01:56.0000000","2019-09-10 22:02:02.0000000"
"299632-2016","2016","299632-2016-01",,,,,,"Hispanic or Latino",,"Male",,,,,,,,,,,,,,"2016-12-18 00:21:47.0000000","2016-12-18 00:21:47.0000000"
"066920-2019","2019","066920-2019-01","MB-23990191-F183",,,"30","40","Black",,"Male","5'59''","170","Medium",,,,"Black","Short",,"Goatee",,,"Comments: TAT, LEFT FOREARM","2019-04-05 13:06:25.0000000","2019-04-05 13:06:26.0000000"
"239808-2018","2018","239808-2018-01","MA-22990004-F1",,,"25","35","Black","Non-Hispanic or Latino","Male","5'10''","180",,,,,,,,,,,,"2018-11-10 23:38:04.0000000","2018-11-10 23:38:05.0000000"
"006256-2021","2021","006256-2021-02","NA-99999999-Z9",,,"18","25","Black","Non-Hispanic or Latino","Male",,,"Thin","Dark",,,,,,,,,"Clothing Description: UNKNOWN","2021-01-20 13:34:46.0000000","2021-01-20 13:34:47.0000000"
"231628-2020","2020","231628-2020-01","F1-12990002-C3",,,"20","25","Black","Non-Hispanic or Latino","Male","5'10''","200","Heavy",,,,,,,"Beard",,,"Clothing Description: BLACK PUFFY JACKET WITH BLACK PANTS, BLUE MASK.","2020-12-30 13:54:46.0000000","2020-12-30 13:54:47.0000000"
"103248-2021","2021","103248-2021-01","MA-22990004-F1",,,"30","40","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2021-06-13 16:12:01.0000000","2021-06-13 16:12:02.0000000"
"193630-2020","2020","193630-2020-01","F2-13150005-D4",,,"24","25","Black","Unknown","Male","5'59''","155","Medium","Light",,,"Black","Short",,"Goatee",,,"Comments: NICELY SHAVED MUSTACHE AND GOATEE. Clothing Description: TSHIRT, UKN PANTS.","2020-10-30 02:25:05.0000000","2020-10-30 02:25:07.0000000"
"084776-2020","2020","084776-2020-02","FS-22990001-E1",,,"0","0","White","Hispanic or Latino","Male","5'09''","230","Heavy",,,,"Black",,,,,,"Clothing Description: BLACK AND WHITE STRIPPED SHIRT, DARK JEANS AND BLACK NIKE TENNIS SHOES","2020-05-13 00:31:15.0000000","2020-12-22 14:40:37.0000000"
"127466-2020","2020","127466-2020-01","FS-22990001-E1",,,"0","0","White",,"Male",,,,,,,,,,,,,"Clothing Description: WHITE HOODIE, SHORTS","2020-07-21 10:16:13.0000000","2020-12-29 09:12:28.0000000"
"083124-2018","2018","083124-2018-01","MB-48010010-U54",,,"25","35","White","Non-Hispanic or Latino","Male",,"180","Medium","Light",,,"Brown","Medium",,"None","N/A",,,"2018-04-21 03:55:13.0000000","2018-04-21 03:55:28.0000000"
"149002-2016","2016","149002-2016-02",,,,"25","28","Black","Non-Hispanic or Latino","Male","5'05''","155","Light",,,,"Black","Short",,,,,"Comments: SUSPECT ARMED WITH A RIFLE. Shirt: WHITE PULL OVER","2016-06-22 09:17:13.0000000","2016-06-22 09:17:13.0000000"
"070636-2018","2018","070636-2018-01","F2-22990002-E5","WES",,"35","40","White","Non-Hispanic or Latino","Male","5'59''","160",,,,,"Blonde",,,,,,,"2018-04-06 00:28:54.0000000","2018-04-06 00:29:02.0000000"
"178936-2021","2021","178936-2021-01","MC-99999999-L194",,,"40","50","White","Non-Hispanic or Latino","Male","6'02''","300","Heavy",,,,,"Bald",,,,,"Clothing Description: T-SHIRT, JEAN SHORTS","2021-10-02 18:34:02.0000000","2021-10-02 18:34:07.0000000"
"083394-2019","2019","083394-2019-03","MA-22990004-F181",,,"20","29","Black",,"Male",,,,,,,,,,,,,,"2019-05-04 16:15:47.0000000","2019-05-04 16:15:48.0000000"
"168838-2015","2015","168838-2015-01",,,,"18","25","Black","Non-Hispanic or Latino","Male","5'07''","155","Thin","Dark","Brown",,"Black","Medium","Other","None","N/A",,"Shirt: BLACK T-SHIRT Jacket: NA Pants: DARK SHORTS Shoe: YELLOW TENNIS SHOES Hat: NA Additional Clothing: BLACK T-SHIRT, DARK COLORED SHORTS, AND YELLOW SHOES","2015-07-23 21:48:15.0000000","2015-07-23 21:48:15.0000000"
"211508-2021","2021","211508-2021-01","F2-13150005-D4",,,"30","35","White","Hispanic or Latino","Male","5'08''","160",,,,,,,,"Mustache",,,"Clothing Description: BLACK JACKET, BLUE JEANS","2021-11-22 07:32:41.0000000","2021-11-22 07:32:43.0000000"
"235111-2019","2019","235111-2019-03","F1-12990002-C4",,,"17","99","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2019-11-22 05:34:29.0000000","2019-11-22 05:34:38.0000000"
"194710-2015","2015","194710-2015-01",,,,"30","35","Hispanic or Latino",,"Male",,,"Unknown","Unknown","Unknown",,"Black","Unknown","Unknown","Unshaved",,,"Shirt: UNK Jacket: UNK Pants: UNK Shoe: UNK Hat: UNK","2015-08-22 04:53:22.0000000","2015-08-22 04:53:22.0000000"
"178975-2019","2019","178975-2019-01","FS-22990001-E1",,,"17","99","Unknown",,"Male",,,,,,,,,,,,,,"2019-09-03 06:32:36.0000000","2019-09-03 06:32:36.0000000"
"023484-2021","2021","023484-2021-01","MB-29990042-L99",,,"18","28","Unknown","Unknown","Male",,,"Light",,,,,,,,,,"Comments: AS SEEN ON BUSINESS VIDEO Clothing Description: WEARING A DARK HOODIE","2021-02-08 10:53:32.0000000","2021-02-08 10:53:47.0000000"
"193070-2018","2018","193070-2018-02","F1-12990002-C4",,,"17","23","White",,"Male","5'06''","170",,,,,,,,,,,"Clothing Description: WEARING ALL BLACK","2018-08-31 07:00:54.0000000","2018-08-31 07:00:55.0000000"
"181582-2016","2016","181582-2016-02",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2016-07-29 02:11:15.0000000","2016-07-29 02:11:15.0000000"
"259683-2016","2016","259683-2016-01",,,,,,"Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,"Comments: POSS SUSP CELL # 214-641-3150","2016-10-30 00:44:09.0000000","2016-10-30 00:44:09.0000000"
"263525-2015","2015","263525-2015-02",,,,"16","18","Black",,"Male",,,,,,,,,,,,,"Shirt: WHITE COLLARED SHIRT Pants: KHAKI Additional Clothing: SCHOOL UNIIFORM","2015-11-13 17:49:09.0000000","2015-11-13 17:49:09.0000000"
"060451-2017","2017","060451-2017-01",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2017-03-17 23:32:35.0000000","2017-03-17 23:32:35.0000000"
"173180-2019","2019","173180-2019-01","MA-24110003-G9",,,"40","50","Black","Non-Hispanic or Latino","Male","5'10''","145","Light","Dark",,,,,,,,,"Clothing Description: BLACK SHIRT GOLD PRINT, BASEBALL CAP","2019-08-27 05:34:17.0000000","2019-08-27 05:34:18.0000000"
"265639-2015","2015","265639-2015-01",,,,"20","25","Black","Non-Hispanic or Latino","Male","5'09''","150",,,,,,,,,,,"Jacket: BLACK Pants: BLACK","2015-11-15 03:19:12.0000000","2015-11-15 03:19:12.0000000"
"245869-2017","2017","245869-2017-02",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2017-10-28 13:58:54.0000000","2017-10-28 13:58:54.0000000"
"261114-2015","2015","261114-2015-01",,,,"25","35","Black","Non-Hispanic or Latino","Male","6'02''","300","Heavy",,,,,,,,,,"Shirt: BLACK Pants: BLUE Shoe: BLACK Hat: DUE RAG BLACK","2015-11-09 12:19:11.0000000","2015-11-09 12:19:11.0000000"
"227280-2017","2017","227280-2017-01",,,,,,"Hispanic or Latino","Hispanic or Latino","Male","5'59''","170","Medium",,"Black",,"Black","Short",,,,,"Shirt: BLACK T-SHIRT Pants: DARK JEANS Hat: GREEN BALL CAP Additional Clothing: BLACK T-SHIRT , DARK JEANS , GREEN BALL CAP Trademark: TATTOOS ON BOTH ARMS AND ON NECK , LARGE SCARE RIGHT SIDE FACE ALONG THE CHEEK AND JAW","2017-10-04 21:08:17.0000000","2017-10-04 21:08:17.0000000"
"003063-2020","2020","003063-2020-01","F2-13150005-D4",,,"30","50","Black",,"Male",,,,"Light",,,"N/A","Bald",,,,,"Clothing Description: BLUE JACKET, BLUE JEANS","2020-01-05 17:46:39.0000000","2020-01-05 17:46:40.0000000"
"010219-2015","2015","010219-2015-01",,"JANICE",,"40","45","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2015-01-14 05:03:20.0000000","2015-01-14 05:03:20.0000000"
"208352-2016","2016","208352-2016-01",,,,"25","30","Black","Non-Hispanic or Latino","Male","5'10''","200","Medium","Dark","Unknown",,"Black","Medium","Unknown","None","N/A",,"Shirt: WHITE MUSCLE SHIRT Jacket: N/A Pants: BLUE JEANS Shoe: UNK Hat: N/A Additional Clothing: WHITE MUSCLE SHIRT, BLUE JEANS","2016-08-29 21:42:17.0000000","2016-08-29 21:42:17.0000000"
"204173-2015","2015","204173-2015-03",,,,"17","21","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,"Additional Clothing: SHORTS/T-SHIRT","2015-09-02 17:05:09.0000000","2015-09-02 17:05:09.0000000"
"244012-2015","2015","244012-2015-01",,,,"20","30","Unknown",,"Male",,,"Unknown","Medium",,,,,,,,,"Comments: LIGHT SKINNED B/M OR DARKER SKINNED H/M WITH BLUE JEANS AND GRAY HOODIE Shirt: GRAY HOODIE Pants: BLUE Additional Clothing: BLUE JEANS GRAY HOODIE","2015-10-20 12:33:11.0000000","2015-10-20 12:33:11.0000000"
"120433-2017","2017","120433-2017-01",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2017-05-29 00:47:14.0000000","2017-05-29 00:47:14.0000000"
"285516-2015","2015","285516-2015-01",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2015-12-09 07:01:26.0000000","2015-12-09 07:01:26.0000000"
"232137-2018","2018","232137-2018-01","FS-22990001-E1",,,"17","99","Unknown",,"Male",,,"Other","Unknown","Unknown",,"N/A","Unknown","Unknown","Other","Other",,"Comments: BURGLARY OF BUSINESS Clothing Description: GREY & BLK HOODIE, DARK PANTS, AND BEENIE","2018-10-27 04:53:02.0000000","2018-10-27 04:53:03.0000000"
"261564-2019","2019","261564-2019-02","F2-13150005-D4",,,"35","45","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,"Clothing Description: WHT HOODIE Trademark: BLK PISTOL","2019-12-31 06:03:32.0000000","2019-12-31 06:03:32.0000000"
"079520-2015","2015","079520-2015-01",,,,"35","45","Black","Non-Hispanic or Latino","Male","5'11''","180",,,,,,,,,,,,"2015-04-15 15:13:51.0000000","2015-04-15 15:13:51.0000000"
"036787-2018","2018","036787-2018-01","MA-22990004-F1",,,"20","25","Black","Non-Hispanic or Latino","Male","5'10''","180","Light","Medium","Brown","No","N/A","Unknown","Other","None","N/A",,"Clothing Description: BLACK ZIP-UP HOODIE, BLACK SHIRT, BLACK SWEATS/GRAY STRIPE","2018-02-20 23:27:48.0000000","2018-02-20 23:27:52.0000000"
"224112-2016","2016","224112-2016-01",,,,,,"Hispanic or Latino","Hispanic or Latino","Male","5'55''","100","Medium",,,,"Black","Medium",,,,,"Shirt: GREEN SHIRT Pants: BLUE JEANS","2016-09-24 11:42:21.0000000","2016-09-24 11:42:21.0000000"
"046170-2019","2019","046170-2019-01","F2-13150005-D4",,,"25","35","Black",,"Male",,,,,,,,,,,,,"Clothing Description: RED T-SHIRT Trademark: BLACK MALE","2019-03-07 22:59:40.0000000","2019-03-07 22:59:41.0000000"
"150533-2018","2018","150533-2018-01","FS-24110003-G13,MC-999999",,,"30","40","Black","Non-Hispanic or Latino","Male","6'02''","160","Slight","Dark",,,"Black","Short",,,,,"Clothing Description: GREY TANK TOP, BLUE JEAN PANTS, BLACK WORK BOOTS","2018-07-12 00:15:22.0000000","2020-10-19 08:07:10.0000000"
"078548-2017","2017","078548-2017-01",,,,,,"Hispanic or Latino","Hispanic or Latino","Male",,,,,"Brown",,"Black",,,,,,,"2017-04-08 22:10:48.0000000","2017-04-08 22:10:48.0000000"
"070961-2015","2015","070961-2015-01",,"PARKER, LAJIMMIAN LAQUINCYIA",,"20","30","Black","Non-Hispanic or Latino","Male","5'03''","130","Light",,,,,,,,,,"Shirt: RED TSHIRT Pants: BLUE JEANS","2015-03-31 15:46:57.0000000","2015-04-16 14:27:21.0000000"
"051855-2019","2019","051855-2019-01","MB-29990042-L99",,,"20","25","Black",,"Male",,,,,,,,,,,,,"Clothing Description: BLACK HOODIE","2019-03-15 12:30:33.0000000","2019-03-15 12:30:34.0000000"
"007221-2016","2016","007221-2016-02",,,,,,,,"Male",,,,,,,,,,,,,,"2016-01-10 15:02:21.0000000","2016-01-10 15:02:21.0000000"
"097446-2017","2017","097446-2017-01",,,,"18","22","Black",,"Male","5'08''","140",,,,,,,,,,,,"2017-05-01 21:57:37.0000000","2017-05-01 21:57:37.0000000"
"149598-2018","2018","149598-2018-02","MA-13990049-H38",,,"30","40","Black",,"Male","5'10''","150","Light","Dark",,,,,,,,,"Clothing Description: RED SHIRT, BLACK SHORTS","2018-07-10 04:46:10.0000000","2018-07-10 04:46:13.0000000"
"143645-2017","2017","143645-2017-01",,,,"15","19","Black",,"Male",,,,,,,,,,,,,,"2017-06-25 03:19:31.0000000","2017-06-25 03:19:31.0000000"
"183981-2016","2016","183981-2016-01",,,,"30","40","Hispanic or Latino",,"Male","5'57''",,,,,,,,,,,,"Shirt: DALLAS MAVS JERSEY Hat: STINSON","2016-08-01 02:56:15.0000000","2016-08-01 02:56:15.0000000"
"195001-2021","2021","195001-2021-01","FS-23990132-F42",,,"20","30","Black","Non-Hispanic or Latino","Male","6'01''","190",,,,,,,,,,,"Clothing Description: BLK SHIRT, BLK PANTS","2021-11-03 00:03:07.0000000","2021-11-10 19:59:08.0000000"
"172171-2017","2017","172171-2017-01",,,,"25","30","White",,"Male","5'08''","160","Light","Light","Hazel",,"Brown","Short",,,,,"Shirt: DARK Additional Clothing: WEAR FANNY PACK","2017-08-02 16:38:24.0000000","2017-08-02 16:38:24.0000000"
"190355-2018","2018","190355-2018-01","MA-29990043-L100",,,"48","52","White","Hispanic or Latino","Male","5'58''",,"Medium",,"Unknown","Yes","Black","Unknown",,"Mustache","Black",,"Comments: IGNORED COMP'S REQUEST FOR ID AND INSURANCE INFO.  ALMOST RAN OVER COMP, TRYING TO GET AWAY. Clothing Description: THING GLASSES, DARK POLO SHIRT WITH CO LOGO ""GN"" OR ""GO"" & MATCHING EMP CARD, GREY OR BLUE WORK PANTS","2018-08-28 00:56:23.0000000","2018-08-28 00:56:26.0000000"
"178886-2019","2019","178886-2019-04",,,,"20","25","Black",,"Male",,,,,,,,,,,,,,"2019-09-03 04:48:55.0000000","2019-09-03 04:48:55.0000000"
"147560-2019","2019","147560-2019-03","NA-99999999-Z9",,,"30","40","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2019-07-22 02:17:29.0000000","2019-07-22 02:17:30.0000000"
"153119-2021","2021","153119-2021-02","F1-12990002-C4",,,"0","0","Black","Unknown","Male",,,,,,,,,,,,,,"2021-08-25 16:41:50.0000000","2021-08-31 17:26:18.0000000"
