"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","address1","address2","city","state","zip","phonenumber","licenseeffectivedate","licenseexpirationdate","businesstypecode","businesstypecodedesc","specialtycode1","specialtycode1desc","specialtycode2","specialtycode2desc","ubi","primaryprincipalname","statuscode","contractorlicensestatus","contractorlicensesuspenddate"
"AWESOME GRASS HYDROSEEDING LLC","AWESOGH904JR","CC","CONSTRUCTION CONTRACTOR","PO BOX 1271",,"YAKIMA","WA","98907","5095946419","2010-04-19T00:00:00.000","2024-04-19T00:00:00.000","L","Limited Liability Company","BW","LANDSCAPING",,,"602859339","VOSS, MICHAEL CARL","A","ACTIVE",
"POLY LANDSCAPING","POLYLL*838O7","CC","CONSTRUCTION CONTRACTOR","2081 62ND AVE E",,"TACOMA","WA","98424","2538786354","2017-09-27T00:00:00.000","2023-10-07T00:00:00.000","I","Individual","01","GENERAL",,,"604162403","ESQUIVEL RAMOS, CESAR ALEXIS","A","ACTIVE",
"TUMWATER DRILLING & PUMP INC","TUMWADP990QT","EC","ELECTRICAL CONTRACTOR","PO BOX 249",,"DRYDEN","WA","98821","5095485361","2001-11-30T00:00:00.000","2023-01-01T00:00:00.000","C","Corporation","3A","Domestic Pump","91",,"600164144","PHYTHIAN, BRETT A","R","RE-LICENSED",
"SAGA DESIGN BUILD INC","SAGADDB820RO","CC","CONSTRUCTION CONTRACTOR","1767 12TH ST #145",,"HOOD RIVER","OR","97031","5414008160","2018-12-20T00:00:00.000","2022-12-20T00:00:00.000","C","Corporation","01","GENERAL",,,"604374827","SPARLING-BECKLEY, CHASE","A","ACTIVE",
"V A TILE & FLOORING","VTILETF855KM","CC","CONSTRUCTION CONTRACTOR","229 Otter Dr",,"PACIFIC","WA","98047","2538868095","2015-05-14T00:00:00.000","2023-08-12T00:00:00.000","I","Individual","RE","Tile, Ceramic, Mosaic, Natural and MFG Stone",,,"603326296","AULOV, VICTOR I","A","ACTIVE",
"HIGH ROLLER PAINTING LLC","HIGHRRP812OW","CC","CONSTRUCTION CONTRACTOR","1972 A COOK LN",,"BREMERTON","WA","98312","3602864334","2019-09-16T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","CB","PAINTING/WALLCOVERING",,,"604486372","SNELL JR, JACK P","A","ACTIVE",
"SUNRISE HOME PROS INC","SUNRIHP849QA","CC","CONSTRUCTION CONTRACTOR","PO Box 420",,"INDIANOLA","WA","98342","3602979999","2016-11-03T00:00:00.000","2022-11-03T00:00:00.000","C","Corporation","01","GENERAL",,,"604005030","Treadwell, Leonidas Brittany","S","SUSPENDED","2022-01-10T00:00:00.000"
"LOGAN ELECTRIC LLC","LOGANEL971D4","EC","ELECTRICAL CONTRACTOR","6418 S D ST",,"TACOMA","WA","98408","2532300620","2003-03-24T00:00:00.000","2023-04-24T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"602281502","LOGAN, JAMES T","A","ACTIVE",
"DURASEAL INC","DURASI*005NP","CC","CONSTRUCTION CONTRACTOR","1516 7TH AVE SW",,"PUYALLUP","WA","98371","2533770944","2000-08-17T00:00:00.000","2023-11-15T00:00:00.000","C","Corporation","01","GENERAL",,,"602059031","PARSONS, ROBERT F","A","ACTIVE",
"NOWAK CUSTOM PLUMBING LLC","NOWAKCP793O7","PC","PLUMBING CONTRACTOR","6310 135TH AVE SE",,"SNOHOMISH","WA","98290","4255083536","2021-09-02T00:00:00.000","2023-09-02T00:00:00.000","L","Limited Liability Company","02","RESIDENTIAL",,,"604796655","NOWAK, JOHN CHARLES","A","ACTIVE",
"PUGET SOUND CNCRT PMG SVCS INC","PUGETSC815OZ","CC","CONSTRUCTION CONTRACTOR","PO BOX 943",,"CLINTON","WA","98236","3609147442","2019-09-09T00:00:00.000","2023-10-06T00:00:00.000","C","Corporation","BI","CONCRETE",,,"604460428","OGDEN, JACOB ANDREW","A","ACTIVE",
"MYKOL PUMP DRILLING INC","MYKOLPD788UC","EC","ELECTRICAL CONTRACTOR","6110 PUGET BEACH RD NE",,"OLYMPIA","WA","98516","3604913820","2022-03-04T00:00:00.000","2024-03-04T00:00:00.000","C","Corporation","3A","Domestic Pump","91",,"602168365","Doughty, Arthur Eugene","A","ACTIVE",
"SOLIS GLASS CO","SOLISGC956BK","CC","CONSTRUCTION CONTRACTOR","PO BOX 585",,"RAVENSDALE","WA","98051","2068187724","2005-01-12T00:00:00.000","2023-01-12T00:00:00.000","C","Corporation","BP","GLAZING/GLASS",,,"602301145","SOLIS, ISRAEL ORVILLE","A","ACTIVE",
"NUTS ABOUT HI FI","NUTSAAH934KS","EC","ELECTRICAL CONTRACTOR","PO BOX 3507",,"SILVERDALE","WA","98383","3606981348","2007-06-11T00:00:00.000","2023-11-19T00:00:00.000","L","Limited Liability Company","06","LIMITED ENERGY",,,"602712101","LEE, JIM","A","ACTIVE",
"CUSHMAN WELDING & CRANE","CUSHMWC896NU","CC","CONSTRUCTION CONTRACTOR","512519 HWY 95",,"BONNERS FERRY","ID","83805","2082676512","2011-08-25T00:00:00.000","2022-10-19T00:00:00.000","I","Individual","RI","Welding and Ornamental Metal",,,"603140168","CUSHMAN, TREVOR DAVID","A","ACTIVE",
"L&I NW LLC","LINWLNL815P5","CC","CONSTRUCTION CONTRACTOR","1115 63RD ST E",,"TACOMA","WA","98404","2532303240","2019-10-25T00:00:00.000","2023-10-25T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604488245","DOLGOVYAZOV, ANDREY L","A","ACTIVE",
"AMERICAN BUILDERS LLC","AMERIBL894LC","CC","CONSTRUCTION CONTRACTOR","5808-A Summitview Ave PMB 98",,"YAKIMA","WA","98908","5099699911","2011-06-03T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603114927","STEVENSON, GARRETT K","A","ACTIVE",
"DAMON JAMES CONSTRUCTION","DAMONJC800Q8","CC","CONSTRUCTION CONTRACTOR","13512 97TH AVE E UNIT 201",,"PUYALLUP","WA","98373","2532408181","2020-12-02T00:00:00.000","2022-12-02T00:00:00.000","I","Individual","01","GENERAL",,,"604539773","JAMES, DAMON FRANK","A","ACTIVE",
"CASCADE ASPHALT SEALING CO","CASCAAS234PP","CC","CONSTRUCTION CONTRACTOR","6238 S TACOMA WAY",,"TACOMA","WA","98409","2534754910","1977-10-17T00:00:00.000","2023-11-18T00:00:00.000","C","Corporation","SS","Paving/ Striping/ Seal Coating",,,"600162674","JENSEN, CHRIS M","A","ACTIVE",
"SUN PROPERTY MNGNG & HDYMAN","SUNPRPM782ML","CC","CONSTRUCTION CONTRACTOR","838 SW 355TH CT",,"FEDERAL WAY","WA","98023","2532203850","2022-07-12T00:00:00.000","2024-07-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604819982","OH, SUN MAN","A","ACTIVE",
"FRANK BLAIRS PRO PLUMBING SERV","FRANKBP794NP","PC","PLUMBING CONTRACTOR","PO BOX 584",,"RICHLAND","WA","99352","5096281002","2021-09-14T00:00:00.000","2023-09-14T00:00:00.000","I","Individual","01","JOURNEY LEVEL",,,"602724975","BLAIR, FRANK EDWARD","A","ACTIVE",
"RIVERFRONT PHASE 1 LLC","RIVERP1800BG","CC","CONSTRUCTION CONTRACTOR","11624 SE 5TH ST STE 210",,"BELLEVUE","WA","98005","4255592300","2020-01-07T00:00:00.000","2024-01-07T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604476569","GOW, JEFFERY D","A","ACTIVE",
"KITCHEN CONCEPTS NORTHWEST LLC","KITCHCN011K8","CC","CONSTRUCTION CONTRACTOR","PO BOX 444",,"TROUTDALE","OR","97060","5036696802","1999-05-28T00:00:00.000","2023-03-17T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"601950508","WARREN, DAVID LLOYD","A","ACTIVE",
"GRAPHIC SYSTEMS INC","GRAPHSI971QM","CC","CONSTRUCTION CONTRACTOR","4493 S 134TH PL",,"SEATTLE","WA","98168","2068356830","2003-11-14T00:00:00.000","2023-10-28T00:00:00.000","C","Corporation","01","GENERAL",,,"602326599","YOUNG, SALLY REEVES","A","ACTIVE",
"REMODEL REPAIR REBUILD LLC","REMODRR856N8","CC","CONSTRUCTION CONTRACTOR","PO Box 333",,"Bothell","WA","98041","4253594640","2015-11-10T00:00:00.000","2023-11-10T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603505687","OSTHUS, LEIF O","A","ACTIVE",
"ALL SQUARE CONSTRUCTION","ALLSQSC893PJ","CC","CONSTRUCTION CONTRACTOR","14301 NE 63RD COURT",,"REDMOND","WA","98052","4252142544","2011-10-11T00:00:00.000","2023-10-31T00:00:00.000","I","Individual","01","GENERAL",,,"601410462","MORRELL, STEVEN JOSEPH","A","ACTIVE",
"J. THOMPSON CONSTRUCTION","JTHOMTC832CB","CC","CONSTRUCTION CONTRACTOR","17001 NE 4TH PLAIN BLVD",,"VANCOUVER","WA","98682","5414148048","2017-02-02T00:00:00.000","2019-02-02T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604084463","THOMPSON, JONATHON JOSEPH","R","RE-LICENSED","2018-02-01T00:00:00.000"
"Platypus Marine Inc","PLATYMI834CG","CC","CONSTRUCTION CONTRACTOR","518 Marine Drive",,"PORT ANGELES","WA","98363","3604170709","2017-02-07T00:00:00.000","2019-02-07T00:00:00.000","C","Corporation","RB","Swimming Pools, Spas and Hot Tubs",,,"601427509","Linnabary, Judson Rae","E","EXPIRED","2018-06-18T00:00:00.000"
"JOHNSON CONTROLS FIRE PRTTN LP","JOHNSCFS317B","CC","CONSTRUCTION CONTRACTOR","ATTN:  LICENSING DEPT","PO BOX 3042","BOCA RATON","FL","33431","2062911400","2017-10-05T00:00:00.000","2023-10-10T00:00:00.000","M","Limited Liability Partnership","01","GENERAL",,,"602113334","SCHIAVONE, CARMINE L","A","ACTIVE",
"POSITIVE SOLUTIONS FOR HOMES","POSITSF819N2","CC","CONSTRUCTION CONTRACTOR","10013 n.e. Hazel Dell Ave.","#283","VANCOUVER","WA","98685","5038670909","2019-08-22T00:00:00.000","2023-10-07T00:00:00.000","I","Individual","01","GENERAL",,,"601065922","CHAMBERS, DOUGLAS CHARLES","A","ACTIVE",
"JMC ENTERPRISES GENERAL CONTRA","JMCENEG805DE","CC","CONSTRUCTION CONTRACTOR","3402 36th Ave So",,"SEATTLE","WA","98114","2063802366","2020-03-05T00:00:00.000","2024-04-12T00:00:00.000","I","Individual","01","GENERAL",,,"601283322","McClinton, James","A","ACTIVE",
"SHADES BY MARKHAM","SHADEM*806PG","CC","CONSTRUCTION CONTRACTOR","PO BOX 1082",,"BELLEVUE","WA","98009","4254430156","2020-10-07T00:00:00.000","2022-10-07T00:00:00.000","I","Individual","RH","Window Coverings",,,"604537359","MARKHAM, APRIL ANNE","A","ACTIVE",
"LOPEZ PAINTING LLC","LOPEZPL841KC","CC","CONSTRUCTION CONTRACTOR","5711 100th St NE Unit 26",,"MARYSVILLE","WA","98270","4255833103","2016-05-03T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","CB","PAINTING/WALLCOVERING",,,"603610859","LOPEZ MARGARITO, ELIAZAR","A","ACTIVE",
"Cuevas General Contractor LLC","CUEVAGC810O7","CC","CONSTRUCTION CONTRACTOR","601 W Pierce St",,"YAKIMA","WA","98902","5099410411","2019-09-27T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604504302","Cuevas, Adan Solorzano","A","ACTIVE",
"KEN BOBKO ELECTRIC CO INC","KENBOEC066BA","EC","ELECTRICAL CONTRACTOR","PO Box 1249",,"ROY","WA","98580","2537560944","1994-01-01T00:00:00.000","2024-01-01T00:00:00.000","C","Corporation","01","GENERAL",,,"601481263","SCHUSTER, JAROD","A","ACTIVE",
"D LUX HARDWOOD FLOORS INC","DLUXHFI066NA","CC","CONSTRUCTION CONTRACTOR","4120 SE INTERNATIONAL WAY","STE A112","MILWAUKIE","OR","97222","5032939206","1994-08-01T00:00:00.000","2024-07-21T00:00:00.000","C","Corporation","01","GENERAL",,,"601545251","LUX, DOUGLAS CHARLES","A","ACTIVE",
"TONY GENERAL CONSTRUCTION LLC","TONYGGC851K7","CC","CONSTRUCTION CONTRACTOR","2112 S 90th St Apt #KK23",,"TACOMA","WA","98444","4257377525","2015-05-27T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603506431","Vechirko, Anatoliy","A","ACTIVE",
"RIVERFRONT PHASE 2 LLC","RIVERP2801BG","CC","CONSTRUCTION CONTRACTOR","11624 SE 5TH ST","SUITE 210","BELLEVUE","WA","98005","4255592300","2020-01-07T00:00:00.000","2024-01-07T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604476467","GOW, JEFFERY D","A","ACTIVE",
"FIRECRACKER LLC","FIRECL*842Q9","CC","CONSTRUCTION CONTRACTOR","6212 6TH AVE NW",,"SEATTLE","WA","98107","2063990448","2016-11-29T00:00:00.000","2022-11-29T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603497809","GOODMAN, NAOMI BETH","A","ACTIVE",
"DFC OF VANCOUVER INC","DFCVAVI789JH","CC","CONSTRUCTION CONTRACTOR","35825 SE YAMAVIEW LN",,"BORING","OR","97009","5039984464","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","C","Corporation","01","GENERAL",,,"602636679","FUENTES, DAVID E","A","ACTIVE",
"SERGIO'S PAINTING","SERGIP*793PG","CC","CONSTRUCTION CONTRACTOR","9236 SW 274th St",,"VASHON","WA","98070","2096062647","2021-10-07T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","CB","PAINTING/WALLCOVERING",,,"604809563","PEREZ ANDRADE, SERGIO","A","ACTIVE",
"PRIMERA CALIDAD LLC","PRIMECL813P9","CC","CONSTRUCTION CONTRACTOR","3008 E PROVIDENCE AVE",,"SPOKANE","WA","99207","9254379912","2019-10-29T00:00:00.000","2023-10-29T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604519696","MARMOLEJO, OSCAR FERNANDO","A","ACTIVE",
"ROBIN RENOVATION LLC","ROBINRL794PF","CC","CONSTRUCTION CONTRACTOR","701 W 30TH ST",,"VANCOUVER","WA","98660","4144773530","2021-10-07T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604790386","GOLDBERG, ISAIAH DANIEL","A","ACTIVE",
"KOUTNEY EXCAVATING","KOUTNE*953DH","CC","CONSTRUCTION CONTRACTOR","P O BOX 97",,"MINERAL","WA","98355","3604923103","2005-03-11T00:00:00.000","2023-10-30T00:00:00.000","I","Individual","SI","Excavation, Grading and Land Clearing",,,"600544910","KOUTNEY, JAMES L","A","ACTIVE",
"RAINIER LAWN","RAINIL*790PG","CC","CONSTRUCTION CONTRACTOR","6619 S MULLEN ST",,"TACOMA","WA","98409","2538838014","2021-10-07T00:00:00.000","2023-10-07T00:00:00.000","I","Individual","BW","LANDSCAPING",,,"604792671","OROZCO RAMOS, GUSTAVO","A","ACTIVE",
"COURT CONCRETE LLC","COURTCL920CN","CC","CONSTRUCTION CONTRACTOR","24404 S RUFF PR SE",,"KENNEWICK","WA","99337","5093661245","2008-02-15T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","BI","CONCRETE",,,"602799570","LAPP, DENNIS PATRICK","A","ACTIVE",
"DEWEY CONSTRUCTION LLC","DEWEYCL820PE","CC","CONSTRUCTION CONTRACTOR","PO Box 9",,"Orting","WA","98360","2537324394","2018-10-05T00:00:00.000","2022-10-06T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604337525","DEWEY, JEFFEREY JAMES","A","ACTIVE",
"CHARLES LICHA CONSTRUCTION INC","CHARLLC812D9","CC","CONSTRUCTION CONTRACTOR","124 N FIRST AVE  STE 200",,"ARCADIA","CA","91006","6264472500","2019-04-08T00:00:00.000","2023-04-08T00:00:00.000","C","Corporation","01","GENERAL",,,"604386125","FRICKE, RICHARD WILLIAM","A","ACTIVE",
"TOXA CONSTRUCTION LLC","TOXACCL814P4","CC","CONSTRUCTION CONTRACTOR","1320 M ST SE APT A",,"Auburn","WA","98002","2532494892","2019-10-24T00:00:00.000","2023-10-24T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604514857","KOSKO, ANATOLIY","A","ACTIVE",
"A FINE TOUCH","AFINET*861PZ","CC","CONSTRUCTION CONTRACTOR","1711 Ocean Beach Boulevard N.",,"LONG BEACH","WA","98631","6074373890","2014-10-09T00:00:00.000","2020-10-09T00:00:00.000","I","Individual","01","GENERAL",,,"603174708","DAGOSTINO, JOHN DAVID","R","RE-LICENSED",
"ASSOCIATED LANDSCAPING LLC","ASSOCLL790NE","CC","CONSTRUCTION CONTRACTOR","11315 26TH AVE S APT 5-208",,"BURIEN","WA","98168","2063993531","2021-10-06T00:00:00.000","2023-10-06T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604200897","VERA-SANTOS, ROBERTO","A","ACTIVE",
"Dominis Stone LLC","DOMINSL859PK","CC","CONSTRUCTION CONTRACTOR","22425 72ND AVE S  BLDG 2",,"KENT","WA","98032","2532771854","2015-10-12T00:00:00.000","2023-10-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603434092","Radulovich, Zorran","A","ACTIVE",
"CADENCE BUILDING GROUP LLC","CADENBG793PG","CC","CONSTRUCTION CONTRACTOR","231 WHITMAN ST",,"LEAVENWORTH","WA","98826","5096794326","2021-10-07T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604732210","SORENSEN, DAVID ALAN","A","ACTIVE",
"SEATTLE SOUND PLBG SOLUTNS LLC","SEATTSP810LG","CC","CONSTRUCTION CONTRACTOR","6301 Agnes Rd NE",,"TACOMA","WA","98422","2533260044","2019-06-07T00:00:00.000","2023-06-24T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604465984","Antonucci, Robert H","A","ACTIVE",
"COMBS CONSTRUCTION LLC","COMBSCL791OB","CC","CONSTRUCTION CONTRACTOR","1448 49th St N",,"LEWISTON","ID","83501","5095521539","2021-09-02T00:00:00.000","2023-09-02T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604788269","Combs, Nathan Michael","A","ACTIVE",
"MACRO-Z TECHNOLOGY COMPANY","MACROTC996O7","CC","CONSTRUCTION CONTRACTOR","841 E WASHINGTON AVE",,"SANTA ANA","CA","927013878","7145641130","2001-10-22T00:00:00.000","2023-10-22T00:00:00.000","C","Corporation","01","GENERAL",,,"602131536","BRYAN, JIM ZATICA","A","ACTIVE",
"MICKELO CONSTRUCTION LLC","MICKECL010BJ","CC","CONSTRUCTION CONTRACTOR","17311 TYE ST SE",,"MONROE","WA","98272","4254815507","1999-01-11T00:00:00.000","2024-01-04T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"601919168","EDELBROCK, MICHAEL B","A","ACTIVE",
"INTERMOUNTAIN ERECTORS, INC.","INTEREI790OZ","CC","CONSTRUCTION CONTRACTOR","1546 N 25TH E",,"IDAHO FALLS","ID","83401","2085287544","2021-09-08T00:00:00.000","2023-09-08T00:00:00.000","C","Corporation","SY","Steel Erectors",,,"604796166","SHELL, MARY ELIZABETH","A","ACTIVE",
"A C TILE & MARBLE","ACTILM*110PB","CC","CONSTRUCTION CONTRACTOR","14419 ASHLEY PL",,"ANACORTES","WA","98221","3607088825","1989-10-02T00:00:00.000","2023-11-06T00:00:00.000","I","Individual","RE","Tile, Ceramic, Mosaic, Natural and MFG Stone",,,"601184539","ZBORIL, DRAHOMIR J","A","ACTIVE",
"ELLINGSON DTD","ELLIND*819P8","CC","CONSTRUCTION CONTRACTOR","PO BOX 68 PAYROLL",,"WEST CONCORD","MN","55985","5075272294","2019-10-28T00:00:00.000","2023-10-28T00:00:00.000","C","Corporation","WD","WELL DRILLING",,,"604453948","ELLINGSON, JEREMY R","A","ACTIVE",
"MAEDKE CONSTRUCTION LLC","MAEDKCL835QB","CC","CONSTRUCTION CONTRACTOR","1249 SAGE RD",,"EPHRATA","WA","98823","5097542451","2017-11-02T00:00:00.000","2023-11-02T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604154121","MAEDKE, PAUL ALLAN","A","ACTIVE",
"MALLOY TERRACE, LLC","MALLOTL802QZ","CC","CONSTRUCTION CONTRACTOR","9505 19TH AVE SE, SUITE 118",,"EVERETT","WA","98208","4256096279","2020-11-09T00:00:00.000","2022-11-09T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604657408","LEABMAN, TODD","A","ACTIVE",
"AXIOM PAINTING LLC","AXIOMPL805N1","CC","CONSTRUCTION CONTRACTOR","3926 N 19TH ST",,"COEUR D ALENE","ID","83815","5099929074","2021-10-07T00:00:00.000","2023-10-07T00:00:00.000","L","Limited Liability Company","CB","PAINTING/WALLCOVERING",,,"604583214","SLAUGHTER, BRITTANY CHRISTINE","A","ACTIVE",
"T & J HOME MAINTENANCE LLC","TJHOMJH814QD","CC","CONSTRUCTION CONTRACTOR","3019 DUPORTAIL ST #165",,"RICHLAND","WA","99352","5094166462","2019-11-04T00:00:00.000","2023-11-04T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604527248","HARVEY, JAMES ERVEN","A","ACTIVE",
"GOLDEN CONTRACTOR SERVICES LLC","GOLDECS870PM","CC","CONSTRUCTION CONTRACTOR","396 Grain Terminal Rd",,"BURBANK","WA","99323","5095316985","2013-10-14T00:00:00.000","2023-10-14T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603336877","Arredondo, Bernardina","A","ACTIVE",
"D'S WINDOW CLEANING SRVCS LLC","DSWINWC783JK","CC","CONSTRUCTION CONTRACTOR","7461  ROAD E.7 NE",,"MOSES LAKE","WA","98837","5097509765","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","PW","PRESSURE WASHING",,,"604436482","KHARITONOV, DIMITRIY A","A","ACTIVE",
"ART OF PLUMBING, THE","ARTPL**970JH","CC","CONSTRUCTION CONTRACTOR","7501 NE 158TH STREET",,"KENMORE","WA","98028","4258283050","2003-04-08T00:00:00.000","2023-05-10T00:00:00.000","C","Corporation","01","GENERAL",,,"602262906","DALY, SEAN","A","ACTIVE",
"MCMULLEN CONSTRUCTION LLC","MCMULCL819P1","CC","CONSTRUCTION CONTRACTOR","6016 98TH ST NE",,"MARYSVILLE","WA","98270","3606519589","2019-10-21T00:00:00.000","2023-10-21T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604504486","MCMULLEN, DENNIS LEE","A","ACTIVE",
"PRIME FINISH LLC","PRIMEFL808O1","CC","CONSTRUCTION CONTRACTOR","1012 S Vandals Ct",,"SPOKANE","WA","99224","5096887552","2020-09-21T00:00:00.000","2022-09-21T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604545262","Pokhodun, Gennadiy V","A","ACTIVE",
"CURTIS LANG HOMES INC","CURTILH839PK","CC","CONSTRUCTION CONTRACTOR","26250 238TH LANE SE  STE 101",,"MAPLE VALLEY","WA","98038","4254323284","2017-10-12T00:00:00.000","2023-10-12T00:00:00.000","C","Corporation","01","GENERAL",,,"604048702","LANG, CURTIS MARC","A","ACTIVE",
"RAINIER REMODELING LLLP","RAINIRL816OD","CC","CONSTRUCTION CONTRACTOR","2222 Meridian Av. E Suite A",,"Edgewood","WA","98371","2068788028","2019-09-04T00:00:00.000","2023-10-07T00:00:00.000","M","Limited Liability Partnership","01","GENERAL",,,"604400280","GENTRY, ROBERT WARREN","A","ACTIVE",
"ENGLUND CONSTRUCTION INC","ENGLUCI966KG","CC","CONSTRUCTION CONTRACTOR","PO Box 1201",,"ISSAQUAH","WA","98027","4253139099","2004-05-07T00:00:00.000","2024-07-13T00:00:00.000","C","Corporation","01","GENERAL",,,"602367653","ENGLUND, TAD J","A","ACTIVE",
"SOLEX CONTRACTING INC","SOLEXCI956DP","CC","CONSTRUCTION CONTRACTOR","42146 REMINGTON AVE",,"TEMECULA","CA","92590","9513081706","2005-03-17T00:00:00.000","2023-03-17T00:00:00.000","C","Corporation","01","GENERAL",,,"602472696","ALLEN, GERALD EVAN","A","ACTIVE",
"AUTOMATED BLDG CNTRL SPCS LLC","AUTOMBC984QK","CC","CONSTRUCTION CONTRACTOR","620 6TH ST S",,"KIRKLAND","WA","98033","4258236300","2003-01-03T00:00:00.000","2023-04-09T00:00:00.000","L","Limited Liability Company","SM","Heating/Vent/Air-Conditioning and Refrig (HVAC/R)",,,"602205924","MAGRUDER, BRADFORD L","A","ACTIVE",
"HI TECH CONCRETE CONSTRUCTION","HITECTC791N4","CC","CONSTRUCTION CONTRACTOR","4308 NE 118TH ST",,"VANCOUVER","WA","98686","3609534833","2021-09-10T00:00:00.000","2023-09-10T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604775287","HUBER, SHAD LEE","A","ACTIVE",
"MARC THE HANDYMAN","MARCHH*952MA","CC","CONSTRUCTION CONTRACTOR","PO BOX 48223",,"SEATTLE","WA","98148","2067157240","2005-07-01T00:00:00.000","2022-10-07T00:00:00.000","C","Corporation","01","GENERAL",,,"602491741","WILLIAMS, MARC A","A","ACTIVE",
"POWERFUL STONE LLC","POWERSL784JK","CC","CONSTRUCTION CONTRACTOR","1511 SW 13TH AVE","APT 308","BATTLE GROUND","WA","98604","3608468392","2022-04-12T00:00:00.000","2024-04-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604890589","YURCHENKO, VITALII","A","ACTIVE",
"JP CONSTRUCTION","JPCONC*805BS","CC","CONSTRUCTION CONTRACTOR","2377 Main St","#F111","FERNDALE","WA","98248","3605275054","2020-01-10T00:00:00.000","2022-01-10T00:00:00.000","I","Individual","SW","Siding",,,"604561158","Pshelensky, Juri","E","EXPIRED","2022-01-03T00:00:00.000"
"SAVANT DESIGN LLC","SAVANDL803DF","CC","CONSTRUCTION CONTRACTOR","Po Box 202",,"KELSO","WA","98626","3607490995","2020-03-11T00:00:00.000","2024-07-13T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604455125","Graunitz, Jesse Timothy","A","ACTIVE",
"PNW WARRANTY SERVICES LLC","PNWWASL951C4","CC","CONSTRUCTION CONTRACTOR","11624 SE 5TH ST, STE 210",,"BELLEVUE","WA","98005","4255867700","2005-02-28T00:00:00.000","2023-02-28T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"602431950","GOW, JEFFERY D","A","ACTIVE",
"Viktor's Finish & Flooring","VIKTOFF877QA","CC","CONSTRUCTION CONTRACTOR","8608 W Payette Ct",,"Kennewick","WA","99336","5097135276","2013-11-01T00:00:00.000","2023-11-01T00:00:00.000","I","Individual","01","GENERAL",,,"603339816","USACH, VIKTOR","A","ACTIVE",
"BROOKE/DUNCAN PNTG & IMPRV LLC","BROOKPI793JE","CC","CONSTRUCTION CONTRACTOR","5706 NE 204TH ST",,"KENMORE","WA","98028","4253308085","2021-09-24T00:00:00.000","2023-09-24T00:00:00.000","L","Limited Liability Company","CB","PAINTING/WALLCOVERING",,,"604713308","BROOKE, CLIFFORD ROBERT","A","ACTIVE",
"RAYMUNDO HOME RENOVATIONS LLC","RAYMUHR790P8","CC","CONSTRUCTION CONTRACTOR","12930 NE 136TH ST",,"KIRKLAND","WA","98034","4252478065","2021-09-24T00:00:00.000","2023-09-24T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604789416","RAYMUNDO, MATHEUS SANTOS","A","ACTIVE",
"TERRAPIN TILE","TERRAT*001L1","CC","CONSTRUCTION CONTRACTOR","PO BOX 13298",,"BURTON","WA","98013","2064637245","2000-06-21T00:00:00.000","2023-10-26T00:00:00.000","I","Individual","RE","Tile, Ceramic, Mosaic, Natural and MFG Stone",,,"602016028","SUTTON, TERRY L","A","ACTIVE",
